ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78
Table Number,439675484,439664986,439307179,439107100,439023751,438944087,438770525,438741813,438717097,438500657,438404231,438276362,438257436,438186433,437985605,437870449,437819283,437748209,437726439,437566921,437363897,437352660,437316156,437272404,437051974,436816613,436791886,436788621,436762912,436716971,436197848,436180172,436156147,436158742,436148149,435870174,435803130,435781132,435703299,435579708,435565655,435045480,434974083,434945555,434748129,434570336,434070883,434048553,433551934,433342815,433079202,432865949,432727733,431356594,431028987,430750350,430526833,429314903,429213142,425815125,425175907,425165350,423771261,422023905,421549329,417255169,405054016,374138794,358827793,356959263,348302073,341401520,336562502,330654495,321888448,320452280,318929216,314360735
Move,5,24,8,32,85,9,9,16,12,36,37,90,45,28,26,45,101,45,48,58,54,21,54,56,64,39,54,66,112,35,91,48,36,73,65,76,43,10,56,19,55,99,43,81,51,83,84,48,12,70,118,20,102,8,147,56,15,55,28,37,99,47,514,41,45,501,772,970,1464,1008,1950,2087,1259,1833,2486,2096,2403,2457
Clues,"['Practice', 'Dental', 'Tooth', 'Pain']","['Londonien', 'RER', 'boulot', 'dodo', 'transport', 'tunnel']","['Sportler', 'Graciano', 'Survivor', 'Drago', 'Stallone']","['Beautiful', 'Take', 'Act', 'Act', 'Location', 'location']","['Fans', 'vacances', 'instituteur', 'Maternelle', 'primaire', 'primaire']","['Adams...', 'Knust', 'Liebes...', 'Kernobst', 'AltesLand', 'Wellant']","['dunes', 'Castle', 'anakin', 'Box', 'hourglass', 'Hourglass']","['tournage', 'appareil', 'Cach\\u00e9e', 'Camescope']","['Memory', 'Battering', 'animal', 'truck', 'Dodge', 'Dodge']","['Agriculture', 'ouvre', 'Basse-cour', 'Paysan', 'Etable', 'exploitation']","['rallye', 'emplettes', 'Marathon', 'Vitesse', 'F1', 'C\\u00f4te']","['Genre', 'Delay', 'Jamaika', 'Dancehall', 'Musikstyle', 'Musikrichtung']","['Jonagold', 'mac', 'Macintosh', 'fuji', 'honeycrisp', 'Sin']","['Cocochanel', 'Fashion', 'versace', 'Salon', 'hair', 'hair']","['feline', 'puma', 'Catamount', 'America', 'panther', 'claws']","['Bug', 'Edgar', 'Immortal', 'Metamorphosis', 'Squash', 'crawly']","['Coussin', 'Taie', 'Plume', 'Bataille', 'Traversin', 'Traversin']","['Apache', 'Flies', 'Drone', 'Parent', 'Chopper', 'Airwolf']","['Halliwell', 'Nutmeg', 'Seasoning', 'Thyme', 'Girls', 'Girls']","['Minuit', 'Bombe', 'hammam', 'eau', 'Mousse', 'Mousse']","['water', 'Tire', 'subway', 'Lead', 'Fallopian', 'Cylinder']","['water', 'vessel', 'float', 'row']","['Boat', 'Wind', 'away', 'set']","['Ritts', 'Rosemary', 'Oregano', 'Parsley', 'aroma', 'Tea']","['Red', 'Yellow', 'new', 'black', 'New', 'Black']","['Leistungssteigernd', 'Leistungssteigerung', 'Sport', 'Sport']","['Space', 'Bath', 'Hotel', 'Bed', 'Hotel', 'Bed']","['No.Pineapple', 'On.Top', 'Circular', 'Food', 'Freezer', 'Frisbee']","['levant', 'Tournesol', 'Louis', 'H\\u00e9liotropisme', 'Lune', 'Syst\\u00e8me']","['Menschenursprung', 'Michlaustder...', 'menschen\\u00e4hnlich', 'Schimpanse']","['Rheoboham', 'plastique', 'Flasque', 'Flacon', 'Vin', 'Champagne']","['Thresher', 'Grey', 'O\\u2019Leary', 'nado', 'Jaws', 'Jaws']","['Wolfgang', '\\u00d6sterreicher', 'Komponist', 'Komponist', 'Kugel', 'Kugel']","['Ordonnance', 'sanofi', 'Tylenol', 'traitement', 'Prescription', 'Prescription']","['daylight', 'breakfast', 'dove', 'star', 'sunrise', 'Sunrise']","['oeuf', 'Poule', 'Oisillons', 'Oiseaux', 'lit', 'oeufs']","['Charlotte', 'preheat', 'Broil', 'Baking']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['dirt', 'Freight', 'Vehicle', 'stop', 'Pickup', 'pickup']","['NDW', 'Susanne', 'Kerner', 'Schwurblerin', 'Luftballons', 'Luftballons']","['hamburger', 'Side', 'Chips', 'burns', ""McDonald's"", 'McDonald\\u2019s']","['coup', 'M\\u00e9canique', 'petit', 'Zeus', 'Grondement', 'foudre']",[],"['claim', 'Emotional', 'Airport', 'zipper', 'Unclaimed', 'carryon']","['Veal', 'Pork', 'Jerky', 'burger']","['Finish', 'dead', 'Start', 'Bottom', 'Conclusion', 'Conclusion']","['Fight', 'strategy', 'Protection', 'Protect', 'Guard', 'guard']","['Stick', 'Snare', 'Bongos', 'Ear']","['Couleur', 'couleurs', 'Transparent', 'Lezard', 'l\\u00e9zard', 'L\\u00e9zard']","['Animal', 'hump', 'Sahara', 'Mount', 'Desert', 'desert']","['shares', 'Wallstreet', 'Soup', 'Control', 'broker', 'broker']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['twig', 'Egg', 'Birds', 'sniper', 'Quick', 'Birb']","['Chill', 'relax', 'Bloody', 'rest']","['OLED', 'Door', 'Tv', 'play']","['handcuffs', 'emergency', 'Academy', 'Movies', 'Sting', 'SVU']","['0', 'X', 'browser', 'Browser']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Disaster', 'Spin', 'shelter', 'alley']","['Abricot', 'Coup', 'Nectarine', 'Ligne', 'Brugnon']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['The', 'Superheld', 'Serie', 'drive', 'Trickster']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Railroad', 'rail', 'Subway', 'Transportation', 'transit', 'Transport']","['Observe', 'Fossil', 'Rolex', 'Clock', 'Pocket', 'pocket']","['Pronged', 'Cutlery', 'Utensil', 'Split']","['black', 'cab', 'yellow', 'yellow']","['Pouet-pouet', 'Dis-', 'pouet', 'pouet']","['sandhill', 'origami', 'Marion', 'Egret', 'Neck', 'stretch']","['gratounette', 'Vaisselle', 'Aspire', 'Liquide', 'bob', 'Bob']","['Current', 'Electron', 'Tesla', 'Tesla', 'Edison', 'Edison']","['D\\u00f4me', 'Rungis', 'Gastronomique', 'Repas', 'Bistrot', 'Manger']","['Ornamento', 'cer\\u00e2mica', 'Terracotta', '\\u00c2nfora', 'Recipiente', 'Flor']","['trunks', 'speedos', 'Bikini', 'Togs', 'Wet', 'Clothing']","['Collection', 'Napa', 'casse-tete', 'Th\\u00e9\\u00e2tre', 'theatre']","['Space', 'intravenous', 'Cannula', 'Haystack', 'Haystack']","['eat', 'Oesophagus', 'Asophagus', 'neck', 'Neck', 'Neck']"
Mystery Word,Dentist,M\u00e9tro,Rocky,Scene,\u00c9cole,Apfel,Sand,Cam\u00e9ra,Ram,Ferme,Course,Reggae,Apple,Stylist,Cougar,Cockroach,Oreiller,Helicopter,Spice,Bain,Tube,Boat,Sail,Herb,Orange,Doping,Room,Pizza,Soleil,Affe,Bouteille,Shark,Mozart,M\u00e9dicament,Morning,Nid,Oven,Poil,Truck,Nena,Fries,Tonnerre,Professor,Baggage,Beef,End,Defense,Drum,Cam\u00e9l\u00e9on,Camel,Stock,Lamb,Nest,Sunday,Screen,Police,Safari,Butcher,Rock,Tornado,P\u00eache,Nombril,Flash,Ski,Metro,Watch,Fork,Taxi,Camion,Crane,\u00c9ponge,Electricity,Restaurant,Vase,Swimsuit,Pi\u00e8ce,Needle,Throat
Guess,cavity,M\u00e9tro,Rocky,,\u00c9cole,Apfel,Sand,Cam\u00e9ra,Ram,ferme,,reggae,apple,Designer,lynx,Beetle,oreiller,Helicopter,Herb,Bain,Tube,Boat,Sail,herb,,Sport,Suit,Pizza,soleil,Affe,Bouteille,shark,Mozart,m\u00e9dicament,Morning,Coq,oven,Poil,bulldozer,Nena,fries,Tonnerre,,baggage,Meat,Line,defense,Drum,Blanc,Camel,Stock,,Nest,igiveup,screen,Police,moonballer,mannaiaLa,Rock,tornado,P\u00eache,Nombril,Flash,skate,train,Watch,Fork,taxi,Camion,crane,\u00c9ponge,Charge,Restaurant,Vase,Swimsuit,Pi\u00e8ce,drip,Swallow
