ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85,Scrapnumber86,Scrapnumber87
Table Number,437240745,437078645,437020860,436980243,436802890,436788745,436766119,436667439,436603406,436599360,436522657,436511295,436491063,436446929,436372239,436340999,436318355,436318845,436263978,436180172,436158742,436036993,435781132,435760057,435730771,435500926,435449524,435399122,435327984,435311714,435313280,435099856,434998791,434974083,434963829,434748129,434398760,434221056,434210194,434160497,434158232,434099941,434050939,433805237,433614896,433612231,433340843,433108514,432931507,432865949,432846587,432790283,432593419,432585757,432205986,431905450,431427708,431356594,431028877,430983901,430750350,430702977,430526833,429735529,429314903,429271612,429213142,428173693,427555732,427186060,426998428,425165350,422107292,422023905,421702805,415621306,411382679,402108912,401556682,374138794,357991900,350584338,343894377,324806575,317609821,313533300,312175859
Move,5,9,9,27,32,6,9,22,18,27,28,18,37,44,19,41,37,28,20,11,18,9,9,55,36,58,64,20,37,48,36,42,83,43,56,21,49,90,56,100,56,44,40,91,48,31,23,10,104,20,61,94,75,48,78,106,56,8,89,51,37,109,15,87,55,40,28,110,74,56,91,47,30,41,58,114,456,518,92,955,286,2468,1734,1407,1288,2778,1638
Clues,"['gown', 'unstrip', 'Code', 'Fabric']","['leap', 'Athletic', 'Triple', 'Kangaroo', 'kangaroo', 'Kangaroo']","['Roll', 'Stone', 'Band', 'Pebble', 'Sisyphus', 'meteorite']","['Oil', 'reader', 'Tree', 'Hand', 'hand', 'Hand']","['PFERD', 'Haarschnitt', 'Fallabella', 'Frisur']","['casing', 'cartridge', 'ammunition', 'pistol', 'Ammo', 'Reload']","['cereal', 'gluten', 'Field', 'Whole', 'Grain', 'Grain']","['granite', 'Rhodes', 'Liberty', 'Liberty']","['Persian', 'Oriental', 'Smaller', 'Hooked', 'Alladyn', 'mat']","['Hypothesis', 'physics', 'astronomy', 'Evidence', 'Chemical', 'fair']","['Blythe', 'Chuckie', 'barbie', 'barbie', 'barbie', 'Barbie']","['Soleil', 'Galil\\u00e9e', 'Astre', 'Ciel', 'broadway', 'Star']","['Smaug', 'lance', 'Mushu', 'Dinosaur', 'flame', 'Dudley']","['Stein', 'Erde', 'nichtsandiger', 'Strandbelag', 'Schotter', 'Gartenbau']","['germ', 'bulgur', 'Sheaf', 'durum', 'celiac', 'Bix']","['Resin', 'Stradivarius', 'Strativarius', 'Fiddle', 'quartet']","['Cobb', 'Spinach', 'green', 'waldorf', 'waldorf', 'Waldorf']","['Mule', 'grey', 'burro', 'ass', 'Eeyore', 'Eeyore']","['Click', 'intruder', 'Minnie', 'Gus', 'rodent', 'Cursor']","['Rodent', 'fink', 'Willard', 'Sewer', 'Remy', 'Mouse']","['Bandes', 'tombe', 'sarcophage', 'Pyramide', 'bandelettes', 'Bandelettes']","['Shore', 'Bondi', 'Boys', 'sand', 'Shark', 'Ball']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Elastique', 'Mouton', 'Parachute', 'Acrobatique']","['Steel', 'Erlenmeyer', 'Bottle', 'Container']","['Outdoors', 'Shopping', 'bazaar', 'Trade', 'farmers', 'Farmers']","['Stefan', 'Schachnovelle', 'gr\\u00fcnen', '\\u00c4stchen', '\\u00c4stlein', 'Birkenvergabelung']","['Hahn', 'Frikasee', 'Doofes', 'Freilandhaltung', 'Federvieh', 'Federvieh']","['Van', 'Halen', 'hop', 'leap', 'Up', 'Dunk']","['Piece', 'Sous', 'Viticole', 'Grotte', 'Vin', 'Vin']","['Intestine', 'links', 'Andouille', ""Garlic's"", 'Italian', 'polish']","['Horse', 'time', 'Dragon', 'swatter', 'fruit']","['Fruit', 'Midori', 'Cantaloupe', 'honeydew', 'Honeydew']",[],"['Island', 'X', 'Chest', 'gold']","['vault', 'Mortgage', 'Robber', 'Snow']","['Beehive', 'Pot', 'Pooh', 'Manuka']","['bec', 'basse-cour', 'Cocotte', '\\u0152uf', 'galinac\\u00e9e', 'gallinac\\u00e9']","['volatile', 'Palmipede', 'tourterelle', 'Balbuzard', 'Colibri', 'Colibri']","['Moses', 'Pharaoh', 'burial', 'scheme', 'Stargate', 'Ziggurat']","['Policier', 'basquaise', 'frites', 'Nugget', 'Flic', 'Tendre']","['India', 'Holy', 'Jersey', 'Calf', 'Holstein', 'Female']","['froth', 'cake', 'Moisturizer', 'Heavy', 'Mousse', 'Sour']","['Cobra', 'Poison', 'Drain', 'venomnous', 'venom', 'venomous']","['Pferde\\u00e4hnlich', 'M\\u00e4dchentraum', 'vierbeiner', 'Fabeltier']","['Bow', 'Stern', 'Frigate', 'Xebec', 'Float', 'Fedex']","['Arctic', 'Glacier', 'Lettuce', 'Lettuce']","['semoule', 'tajine', 'Food', 'Magrebe']","['Starks', 'Fenrir', 'Canine', 'Witcher', 'rougarou', 'moon']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Openlucht', 'Night', 'Historic', 'Curator', 'Aviodrome', 'Watersnood']","['shape', 'cut', 'shiny', 'Carbon', 'Carbon']","['Tiny', 'Moroccan', 'Balls', 'round', 'semolina', 'semolina']","['Pinot', 'Merlot', 'Sommelier', 'Tasting', 'zinfandel', 'sparkling']","['lonely', 'solitaire', 'alone', 'alone']","['Satire', 'Roasting', 'Humorous', 'Fleabag', 'laugh', 'laugh']","['Ecouteurs', 'chapeau', 'protection', 'T\\u00eate', 'Moto', 'moto']","['Chill', 'relax', 'Bloody', 'rest']","['colony', 'busy', 'bumble', 'stinger', 'Honey', 'Hive']","['Katamaran', 'Papierflieger', 'Knut', 'Wassersport']","['Metal', 'Coil', 'Slinky', 'Break', 'Season', 'March']","['Corgi', 'Elisabeth', 'Tod', 'Monarchie', 'Freddy', 'Mum']","['0', 'X', 'browser', 'Browser']","['Snooker', 'Swimming', 'swim', 'Billards']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Royalty', 'Headpiece', ""Royalty's"", 'hat']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Versager', 'Pfand', 'Trinkbeh\\u00e4ltnis', 'glas', 'Pet', 'schimpfwort']","['Summer', 'Hot', 'sunny', 'Warm', 'warm']","['christmas', 'decidious', 'Trunk', 'Branches', 'Aspen', 'Birch']","['Boule', 'Cochonnet', 'cochonnet']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Yellow', 'Tall', 'solar', 'seeds']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Cold', 'solstice', 'white', 'Flake', 'Freezing', 'Princess']","['AWhile', 'Dundee', 'Dundee', 'Dundee', 'Dundee']","['poultry', ""hen's"", 'Leghorn', 'crest', 'Broiler', 'Cogburn']","['mammal', 'Flipper', 'Bottlenose', 'Porpus', 'porpoise']","['kitchen', 'panic', 'escape', 'escape']","['Hitchcock', 'Stewart', 'Hemp', 'Rigging', 'Noose', 'Noose']","['Cauchemar', 'Contraire', 'Pr\\u00e9monitoire', 'Songe']","['Toss', 'Boom', 'Explode', 'Explosive']","['Ahab', 'Blowhole', 'Ambergris', 'Killer', 'Jonah', 'Sperm']","['P\\u00e2tissier', '\\u00c9clair', 'Levain', 'Metier', 'croissant', 'P\\u00e9trissage']","['Floating', 'Glacier', 'Penguins', 'Titanic', 'tip', 'tip']","['W\\u0142adzy', 'Z\\u0142oty', 'Tytanowy', 'Obr\\u0105czka']"
Mystery Word,Dress,Jump,Rock,Palm,Pony,Bullet,Wheat,Statue,Rug,Science,Doll,\u00c9toile,Dragon,Kiesel,Wheat,Violin,Salad,Donkey,Mouse,Rat,Momie,Beach,Poil,Saut,Flask,Market,Zweig,Huhn,Jump,Cave,Sausage,Fly,Melon,Professor,Treasure,Bank,Honey,Poule,Oiseau,Pyramid,Poulet,Cow,Cream,Snake,Einhorn,Ship,Iceberg,Couscous,Wolf,Lamb,Museum,Diamond,Couscous,Wine,Hermit,Comedy,Casque,Sunday,Bee,Segeln,Spring,Queen,Safari,Pool,Butcher,Crown,Rock,Flasche,Heat,Tree,P\u00e9tanque,Nombril,Sunflower,Ski,Dinosaur,Winter,Crocodile,Rooster,Dolphin,Room,Rope,R\u00eave,Grenade,Whale,Boulanger,Iceberg,Ring
Guess,coat,jump,Stone,Olive,Pony,Bullet,grain,rock,Carpet,Science,,Etoile,Dragon,Kies,Wheat,Violin,Lettuce,Donkey,mouse,Rat,Momie,Beach,Poil,Sauter,flask,Market,zweig,Huhn,jump,Cave,,Fly,Melon,,Treasure,Bank,honey,Poule,Pigeon,pyramid,Poulet,Cow,Cream,Snake,Einhorn,Ship,Titanic,couscous,Wolf,,Museum,,,wine,Hermit,Comedy,casque,igiveup,bee,Segeln,spring,k\u00f6nigin,moonballer,Pool,mannaiaLa,Crown,Rock,flasche,Beach,Tree,,Nombril,Sunflower,skate,Dinosaur,snow,Time,Rooster,Dolphin,room,Rope,R\u00eave,Grenade,Whale,Boulanger,iceberg,Ring
