ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85
Table Number,425367432,425251048,425126523,425102131,425082962,425047724,424964423,424956812,424938682,424911585,424858347,424712916,424686480,424670799,424669522,424657866,424633906,424591849,424507759,424487231,424454249,424318998,424185564,423942756,423806163,423803653,423765359,423734854,423699703,423672931,423486876,423184289,423113974,422947871,422914441,422908962,422866724,422855987,422754186,422451241,422372568,422352998,422107292,422080187,421981250,421810395,421702805,421472241,421448482,421348499,420914272,420835072,420699835,420372008,420364715,420079171,420044704,420032970,419400127,419089288,418688067,418633062,418252645,418109392,417918992,417255169,416516806,416390940,415379476,415008212,414945547,414619799,412907496,411328429,411179061,389157129,381777020,374138794,357991900,357001162,353362991,350584338,337346134,319065151,318929216
Move,5,6,6,6,9,18,62,14,25,7,11,18,18,24,20,14,19,24,13,39,26,75,50,66,25,33,55,63,36,31,27,64,64,48,62,40,32,84,57,73,75,27,5,46,52,10,58,50,81,26,10,93,74,62,101,100,103,51,74,120,8,36,7,102,36,123,74,49,19,101,90,18,11,73,53,922,408,763,274,1461,951,2166,2835,215,2262
Clues,"['Grabstein', 'Gr\\u00e4ber', 'Kuscheltiere', 'Kuscheltiere']","['Sliced', 'Toast', 'bake', 'wheat', 'Money', 'Crust']","['shelter', 'patio', 'wetness', 'shield', 'Accessory', 'Protect']","['Scampi', 'Fried', 'Jumbo', 'Ocean', 'teeny', 'shell']","['Exist', 'time', 'current', 'Now', 'Christmas', 'Christmas']","['translucent', 'paste', 'styling', 'goo', 'Wet', 'Hair']","['wheeeeeeeeeeeeeee', 'pole', 'projector', 'whistle']","['Prison', 'pet', 'Iron', 'Dancing']","['Fancy', 'Oil', 'Mushroom', 'Salt']","['Schutzgeld', 'Pate', 'Sizilien', 'Ndrangheta']","['Hole', 'Orange', 'Belly', 'Belly']","['Jewelry', 'lanyard', 'Collar', 'wear', 'Choker', 'Pearls']","['garmin', 'Tornado', 'observe', ""Night's"", 'Casio', 'timepiece']","['Tasse', 'Material', 'Keramik', 'brennen', 'Geschirr', 'Meissner']","['Klempner', 'toad', 'Adorf', 'Digital', 'playstation', 'Luigi']","['Klunker', 'Accessoires', 'Perlenohrring', 'Zierde', 'Schatulle', 'Schatulle']","['Gogh', 'masterpiece', 'Solaris', 'Bloom', 'Yellow', 'Fields']","['turtle', 'shell', 'Aldabra', 'Angonoka', 'Terrapin', 'Blastoise']","['coagulate', 'dispersion', 'Translucent', 'paste', 'lighting', 'congeal']","['fall', 'spices', 'winter', 'winter', 'Autumn', 'autumn']","['Spielkonsole', 'FIFA', 'Controller', 'Zacken']","['Scheme', 'tetrahedron', 'Triangles', 'Point', 'Egyptian', 'Egypt']","['101', 'service', 'WithA', 'View', 'living', 'spacy']","['photo', 'Blinding', 'Lightning', 'flood', 'Arc', 'Superhero']","['Nematode', 'Tape', 'pink', 'Jim', 'Earth', 'Earth']","['fruit', 'Hamper', 'wickerwork', 'box', 'wicker', 'Wicker']","['literature', 'hardcover', 'Paper', 'library', 'bible', 'Case']","['Pr\\u00e4gung', 'Hochzeitsschmuck', 'Hochzeit', 'Selbstgeschmiedete', 'Ringfinger', 'Goldschmied']","['Christkind', 'Geburt', 'Bibel', 'Familienfest', 'Geschenke', 'Geschenke']","['Play', 'Football', 'Catan', 'Hanabi', 'Board', 'Board']","['ding', 'jingle', 'object', 'metal', 'Liberty', 'Liberty']","['Sabrina', 'Schiappa', 'mal\\u00e9fice', 'Potions', 'Chaudron', 'Charmed']","['\\u30c9\\u30eb', '\\u30ea\\u30e9', '\\u30a6\\u30a9\\u30f3', '\\u30bb\\u30f3\\u30c8']","['Oogway', 'shell', 'Terrapin', 'Blastoise', 'Galapagos', 'galapagos']","['Th\\u00e9\\u00e2tre', 'esp\\u00e8ces', 'Unit\\u00e9', 'Ecu', 'monnaie', 'Monnaie']","[""Tim'Cook"", 'pie', 'Newton', 'an', 'Red']","['Held', 'forearm', 'Armor', 'Armor']","['torentielle', 'Grain', 'Eparse', 'apostrophe', 'Nord', 'Nord']","['French', 'Moet', 'Toast', 'Bubbly', 'bubbly']","['enwrap', 'Ace', 'arm', 'Cover', 'Covering']","['Bleat', 'Gamey', 'Spring', 'baby', 'baaa', 'Young']","['Womans', 'Shape', 'Pear', 'Pear']","['rubbing', 'isopropyl', 'Wine', 'Scotch']","['runner', 'tapestry', 'Thick', 'toupee', 'Mat', 'Drapes']","['Chutes', 'Werner', 'Rung', 'Runs']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['fruit', 'nectarine', 'Stonefruit', 'melba', 'Princess', 'fuzz']","['\\u00c4hre', '450', 'Gluten', 'Wei\\u00dfbier', 'Bier', 'Bier']","['Blackbead', 'Pugwash', 'Plank', 'Bluebeard']","['tooth', 'doctor', 'teeth', 'teeth']","['Private', 'Clues', 'Scooby', 'Agent', 'homicide', 'Pikachu']","['Pooh', 'well', 'Monster', 'Bees']","['Respirator', 'N95', 'Awooga', 'Hider', 'Surgical', 'Cloth']","['Oncology', 'ER', 'Emergency', 'nurses', 'general', 'Greys']","['pluvieux', 'montgolfi\\u00e8re', 'Septi\\u00e8me', 'Firmament', 'Haut', 'Mardi']","['Beach', 'Paper', 'glass', 'Grains', 'grain']","['Venasaur', 'Ivysaur', 'idea', 'wattage', 'Onion', 'Tulip']","['Allwissend', 'Internetsuchseite', 'Suchmaschine', 'Lens']","['kodak', 'Aperture', 'obscura', 'snap', '35mm', 'Lens']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Travelling', 'Time', 'summer', 'holiday', 'Getaway', 'Fiji']","['Australia', 'aussie', 'Grill', 'Grill']","['defensiv', 'Bunker', 'Milit\\u00e4r', 'Schild', 'Angriff', 'Deckung']","['Lion', 'Badge', 'Honor', 'Silver', 'Trophy', 'Prize']","['Trail', 'road', 'Guide', 'Bannister', 'Gun', 'Train']","['calm', 'tranquility', 'Green', 'hippies', 'dove', 'Dove']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['Sweetener', ""hershey's"", 'Molasses', 'Sticky', 'AuntJemima', 'Sticky']","['high', 'Atmosphere', 'Masterson', 'vanilla', 'Cloudy']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Periplaneta', 'Raid', 'Black', 'Exterminate', 'Bug']","['Sicilian', 'godfather', 'Prohabition', 'Guns']","['wrench', 'Ape', 'Powerlines', 'Luffy', 'Kong']","['Worship', 'Grandin', 'Shirley', 'Forehead']","['town', 'country', 'Rodent', 'Field']","['Mines', 'Gimli', 'Dopey', 'Tyrion', 'Short', 'Beards']","['Text', 'Thick', 'Paperback', 'Fiction', 'Log', 'Face']","['engine', 'boat', 'Hbbrbrbrbl', 'rev']","['Tirebaba', 'Repas', 'Couteau', 'F\\u00e9minin']","['LOTR', 'xbox', 'netflix', 'Sequence', 'Tv']","['aang', 'barn', 'Viento', 'remolino']","['Pern', 'Bearded', 'Tiamat', 'Cuba', 'April']"
Mystery Word,Friedhof,Bread,Umbrella,Shrimp,Present,Gel,Slide,Cage,Truffle,Mafia,Navel,Necklace,Watch,Porzellan,Mario,Schmuck,Sunflower,Tortoise,Gel,Season,PlayStation,Pyramid,Room,Flash,Worm,Basket,Book,Ehering,Weihnachten,Game,Bell,Sorci\u00e8re,Currency,Tortoise,Pi\u00e8ce,Apple,Shield,Pluie,Champagne,Sleeve,Lamb,Pear,Alcohol,Rug,Ladder,Poule,Dinosaur,Peach,Weizen,Pirate,Dentist,Detective,Honey,Mask,Hospital,Ciel,Sand,Bulb,Google,Camera,Rum,Vacation,Barbecue,Verteidigung,Medal,Rail,Peace,Kette,Oasis,Syrup,Sky,Arrow,Guillotine,Cockroach,Mafia,Monkey,Temple,Mouse,Dwarf,Book,Motor,Fourchette,Series,Tornado,Dragon
Guess,Friedhof,Bread,rain,shrimp,Today,Gel,Slide,Cage,Truffle,Mafia,Juice,Necklace,watch,Porzellan,Mario,Schmuck,sunflower,Tortoise,Spread,leaf,PlayStation,Pyramid,Room,Flash,worm,Basket,book,Ehering,Weihnachten,games,Bell,sorci\u00e8re,currency,,pi\u00e8ce,apple,,Pluie,Bread,Gun,Lamb,Bell,Alcohol,carpet,Ladder,Poule,Dinosaur,Peach,Mehl,pirate,Dentist,Detective,Honey,mask,Hospital,Ciel,Sand,Sunlight,Google,camera,,Vacation,Kangaroo,Verteidigung,Medal,Rail,peace,Kette,,Cocoa,Sky,compass,,Roach,mafia,Monkey,Temple,mouse,DWARF,Book,motor,Fourchette,Stream,wind,dragon
