ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79
Table Number,427330601,426942104,426773678,426577900,426312752,426288467,426224659,426148963,426070803,426052578,425963122,425890731,425640011,425632837,425578590,425511377,425498441,425434958,425345101,425283639,425165350,425098889,424963172,424829121,424818463,424740220,424686480,424501269,424485297,424472569,424454249,424300607,424185755,423805963,423741996,423677151,423531913,423429168,423184289,423101107,423074764,422908962,422633794,422151576,422121672,422107292,422090899,422080187,422023905,421989754,421810395,421702805,421549329,420992843,420914272,420035270,418887349,418688067,418633062,418252645,417580076,416516806,416390940,415621306,415379476,414619799,412907496,411828076,405054016,396307534,381777020,358827793,357991900,331907183,330741642,320452280,314877288,314360735,312552889
Move,7,13,16,24,40,24,46,43,43,48,12,28,66,34,58,74,48,63,84,55,47,49,48,54,72,14,66,49,92,10,62,46,64,65,30,55,37,77,100,48,75,73,31,56,43,10,32,84,41,30,10,58,21,45,10,57,49,8,36,7,50,83,49,47,19,18,11,91,527,211,464,1216,274,763,1701,1998,3272,2368,1747
Clues,"['F1', 'Schumacher', 'Aviation', 'Course']","['Spinner', 'air', 'Bottlenose', 'Kick', 'Animal', 'Miamifootball']","['brou', 'cajou', 'Yanick', 'Muscade', 'testicules']","['PATCHWORK', 'RUNNER', 'Tapestry', 'Floor', 'rats', 'burnn']","['Jar', 'Container', 'ceramic', 'fragile', 'Water']","['Blowhole', 'Rubbery', 'Bottlenose', 'pod', 'Mammal']","['Pinocchio', 'Wooden', 'Toy', 'Barbie', 'Bibibo', 'Bibibo']","['Sheep', 'Ewe', 'Football', 'Stafford', 'Battering', 'battering']","['ABRACADABRA', 'HOCUSPOCUS', 'Hermione', 'Granger']","['Top', 'Head', 'cowboy', 'baseball']","['Oasis', 'Sand', 'storm', 'forbidden', 'Dry', 'Challenging']","['Blasphemers', 'Boulder', 'Jewel', 'age']","['McQueen', 'Zeus', 'weather', 'storm', 'thunder', 'thunder']","['Thin', 'seitti', 'needle', 'Needle', 'needle']","['Castle', 'royal', 'Taj', 'Building', 'Versailles', 'Versailles']","['Lumiere', 'Filament', 'led', 'Cloque']","['Striegeln', 'Schrubben', 'Zahn', 'Klo', 'Haarentwirrer', 'Haarpflege']","['knot', 'gentleman', 'windsor', 'rope', 'Neck', 'Neck']","['Kalahari', 'Scorpion', 'Sahara', 'Dry', 'Atacama']","['orb', 'Wrecking', 'Spherical', 'billiard', 'bouncy', 'Bouncy']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['\\u3075\\u3086\\u3054\\u3082\\u308a', '\\u305f\\u3044\\u307e\\u3064', '\\u3053\\u3046\\u3082\\u308a', '\\u3060\\u3093\\u3058\\u3087\\u3093', '\\u30ab\\u30d7\\u30ea\\u3068\\u3046', '\\u30a4\\u30bf\\u30ea\\u30a2']","['Foos', 'Ping-pong', 'chain', 'Tennis', 'foot', 'bouncy']","['Rain', 'head', 'bath', 'rinse', 'bridal', 'soap']","['flame', 'Alarm', 'Burn', 'marshal', 'extinguisher', 'Extinguisher']","['Frontman', 'Feyd', 'Bee', 'Wrestler']","['Aladdin', 'Pixar', 'lighter', 'Luxo', 'chandalier', 'oil']","['Mickelson', 'Bogey', 'birdie', 'Palmer', 'Eighteen', 'Grass']","['Parkhaus', 'Eventim', 'entwerten', 'Museumseintritt', 'eintritskarte', 'Fahrkarte']","['Suitcase', 'XS', 'Luggage', 'Luggage']","['Engel', 'Pfeil', 'Gott', 'Liebe']","['Oil', 'flavorful', 'mushroom', 'Funghi', 'Pig', 'Pig']","['oeuvre', ""D'honneur"", 'Joconde', 'craie', 'p\\u00e9riodique', 'P\\u00e9riodique']","['shitake', 'edible', 'Boi', 'Bolete', 'Toad']","['Twang', 'Bullseye', 'direction', 'hawkeye']","['hotel', 'banquets', 'gown', 'venue', 'Space', 'festive']","['Scattergories', 'jenga', 'fun', 'entertainment', 'Monopoly', 'monopoly']","['District', 'Tahoe', 'Boating', 'Loch', 'Water', 'Water']","['Pioche', 'hydraulique', 'Balayette', 'G\\u00e2teau', 'Tarte', 'tarte']","['Milk', 'Beef', 'Lactose', 'Creamy']","['scheitern', 'Bankrott', 'gescheitert', 'Versagen', 'Niederlage', 'Niederlage']","[""Henri'Sanson"", 'die', 'magic', 'death', 'Death']","['Hereford', 'Moo', 'dairy', 'heifer', 'Bovine', 'Milk']","['imm\\u00e9diatement', 'Crise', 'hopital', 'Hopital']","['Times', 'Obituary', 'Press', 'print']","['Quest', 'Spiral', 'Andromeda', 'Hoag']","['poo', 'cow', 'waste', 'fertilizer', 'Beetle', 'Crap']","['tony', 'Mike', 'Siberian', 'Jungle', 'king', 'predator']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Emplacement', 'Caveau', 'Tombes', 'Tombes']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Fencing', 'Sabre', 'katana', 'samurai', 'Knight', 'Weapon']","['Airtight', 'Top', 'Container', 'Eye']","['tooth', 'doctor', 'teeth', 'teeth']","['Archimedes', 'D.I.Y', 'Twist', 'Tighten', 'fastener', 'spin']","['desert', 'flame', 'Pacino', 'Kilmer', 'Sun', 'Stovetop']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Travelling', 'Time', 'summer', 'holiday', 'Getaway', 'Fiji']","['Australia', 'aussie', 'Grill', 'Grill']","['Kookpot', 'Doos', 'Potten', 'Keuken']","['Color', 'bowser', 'Georgia', 'Fuzz', 'butt', 'Butt']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['punch', 'Puppet', 'Compression', 'ankle', 'darn', 'fuzzy']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Freefall', 'Ripcord', 'Pants', 'skydiving']","['dining', 'extra', '20%', 'Gratuity']","['drunks', 'alcohol', 'Drinks', 'Tender', 'Cheers', 'Legal']","['Shhhhhhh', 'Dewey', 'Reading', 'Public']","['de-pan', 'a-becs', 'Pain', '350g']","['Mines', 'Gimli', 'Dopey', 'Tyrion', 'Short', 'Beards']","['Spreadsheet', 'Dining', 'Shelve', 'Periodic', 'Dinner', 'Dinner']","['Titanic', 'Glace', 'Bloc', 'Glacier']","['Beaujolais', 'bordeaux', 'Santerre', 'Pinot', 'Piasse']","['\\u3075\\u3048\\u308b', 'French', 'Marie', '\\u3088\\u3046\\u304c\\u3057', '\\u3082\\u308a\\u306a\\u304c']","['Vesuvius', 'Mountain', 'pompeii', 'eruption', 'Lava', 'Lava']","['Hem', 'Pleat', 'Ripper', 'stitched', 'Stitched']"
Mystery Word,Pilote,Dolphin,Noix,Rug,Vase,Dolphin,Doll,Ram,Magician,Hat,Desert,Stone,Lightning,Thread,Palace,Ampoule,B\u00fcrste,Tie,Desert,Ball,Nombril,Grotto,Ball,Shower,Fire,Sting,Lamp,Golf,Ticket,Baggage,Amor,Truffle,Tableau,Mushroom,Arrow,Ballroom,Game,Lake,Pelle,Cow,Misserfolg,Guillotine,Cow,Urgence,Newspaper,Galaxy,Dung,Tiger,Ski,Cimeti\u00e8re,Poule,Dinosaur,Sword,Lid,Dentist,Screw,Heat,Rum,Vacation,Barbecue,Lid,Peach,Kette,Sock,Oasis,Arrow,Guillotine,Parachute,Tip,Bar,Library,Fl\u00fbte,Dwarf,Table,Iceberg,Vin,Biscuit,Volcano,Seam
Guess,Pilote,helicopter,noix,Blanket,vase,Dolphin,Doll,Ram,Witch,Hat,desert,Stone,lightning,net,Palace,Ampoule,B\u00fcrste,tie,Desert,Ball,Nombril,cave,Ball,Shower,fire,Queen,Light,Golf,Ticket,bag,Amor,Truffle,doigt,mushroom,Arrow,Ballroom,Game,Lake,pelle,Cow,aufgabe,King,Cow,Urgence,newspaper,galaxy,Dung,Tiger,skate,tombe,Poule,Dinosaur,sword,lid,Dentist,Wrench,Hot,,Vacation,Kangaroo,Lid,Green,Kette,sock,,compass,,parachute,Tip,bar,Library,Flute,DWARF,Table,Iceberg,Vin,biscuit,Volcano,Seam
