ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79
Table Number,434974083,434768772,434557308,434524380,434463296,434461621,434420688,434418987,434371600,434317815,434296671,434210194,434193186,434187434,434160497,434169206,434093917,434099941,433764945,433659037,433451065,433091936,433021529,432913547,432865949,432790283,432794183,432749092,432717998,432585757,432526657,432426395,432230476,431938804,431890304,431831011,431503131,431356594,431201149,431081437,431053141,430847224,430759689,430082506,429726272,429314903,429271612,429213142,429086965,429022431,429027921,428993727,428958502,428250065,428026154,427550737,427028100,426998428,426921218,425165350,422090899,422023905,421989754,421702805,421202126,420914272,415904372,414619799,413563103,396307534,393453511,374138794,363390977,344838144,337346134,330741642,324806575,319065151,312552889
Move,43,5,28,15,9,11,18,9,6,39,9,9,19,30,18,33,18,6,7,18,37,18,50,40,20,35,50,104,47,30,57,64,56,65,32,56,72,8,85,78,73,47,72,84,24,55,30,28,92,49,42,108,31,81,65,56,117,91,73,47,65,41,61,58,48,10,59,18,54,229,607,888,941,1179,2988,1909,1398,262,1854
Clues,[],"['Podium', 'F\\u00eate', 'Mousseux', 'Mousseux']","['Pujols', 'Gun', 'Robot', 'Rowing']","['couchage', 'canadienne', 'Oncle', 'Camping']","['Blonde', 'Flavour', 'Neapolitan', 'Punnet', 'exterior', 'Shortcake']","['Tatin', 'Pomme', 'P\\u00e2te', 'P\\u00e2te']","['scented', 'fragrant', '5', 'smell', 'sprays', 'spray']","['sushi', 'spread', 'Nicoise', 'Rio-Mare', 'salad', 'Yellowfin']","['Shock', 'Ring', 'Stun', 'Panic', 'Wake', 'Waking']","['David', 'polaire', 'Filante', 'Ski', 'berger', 'Berger']","['climb', 'tights', 'rung', 'Rungs', 'Step', 'Step']","['haschich', 'pissenlits', 'Pr\\u00e9', 'Joint', 'Gazon', 'Gazon']","['Sausages', 'Blaviken', 'Meatseller', 'cleaver', 'Meat', 'occupation']","['Gun', 'Swordsmen', 'Three', 'Three']","['Reader', 'steal', 'Pilot', 'Tree', 'Fortune', 'oil']","['ice', 'Waterpark', 'Playground', 'playground', 'Playground']","['percent', 'isopropyl', 'methanol', 'Spirit', 'ethanol', 'Ethanol']","['month', 'weekly', 'Gregorian', 'Lunar', 'Schedule', 'Google']","['Pales', '\\u00c9lectricit\\u00e9', 'Ventilateur', 'ventilateur']","['\\u30ac\\u30b9', '\\u3059\\u3044\\u3069\\u3046', '\\u3048\\u3093\\u304b\\u30d3\\u30cb\\u30eb', '\\u30b9\\u30af\\u30ea\\u30fc\\u30f3\\u30bb\\u30fc\\u30d0\\u30fc', '\\u304f\\u3086\\u3089\\u305b\\u308b', '\\u3048\\u3093\\u3068\\u3046']","['Prises', 'Baudrier', 'Alpinisme', 'Cadillac']","['tente', 'Cort\\u00e8ge', 'raphael', 'M\\u00e9haris', 'Maison', 'CHARETTE']","['magma', 'pompeii', 'eruption', 'eruption', 'Eruption']","['soigneur', 'Exposition', 'Aquarium', 'Animaux', 'Animaux', 'Animaux']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['sugarcane', 'caribbean', 'spiced', 'guzzle', 'Cocktail']","['cashew', 'Macadamian', 'shell', 'cracker', 'pistachio']","['soup\\u00e7on', 'Vapeur', 'Rose', 'Stratus', 'Stratus']","['fourrure', 'Cils', 'Cil', 'Pubien', 'Oku', 'Carotte']","['Develop', 'Roll', 'Movie', 'Kodak', 'reel', '35mm']","['Bristles', 'Paint', 'hair', 'sweeper', 'sweep']","['spear', 'Iceberg', 'Iceberg', 'Iceberg']","['swashbuckler', 'Luffy', 'bandit', 'ocean', 'Argh', 'Buccaneer']","['Graine', 'Colonel', 'Condiment', 'Condiment']","['Mercurio', 'dancing', 'Strictly', 'strictly']","['Miyagi', 'Kid', 'Martial', 'martial', 'Kick', 'Kick']","['Oneway', 'Direction', 'Projectile', 'Green', 'Archery', 'fletcher']","['Chill', 'relax', 'Bloody', 'rest']","['Covid', 'pand\\u00e9mie', 'pathog\\u00e8ne', '\\u00c9pid\\u00e9mie', 'Grippe', 'Ebola']","['Dawn', 'Good', 'Star', 'Glory']","['Mill', 'Gust', 'Tornado', 'candle', 'Breeze', 'blow']","['sunrise', 'sun', 'Dawn', 'dawn']","['oasis', 'vision', 'de', 'illusion', 'Illusion']","['cinematic', 'towed', 'preview', 'doublewide', 'hitch', 'semi']","['thick', 'foam', 'Dessert', 'milk', 'Ice', 'ice']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Wrist', 'Band', ""Wrist's"", 'Decoration']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Tacot', 'Merced\\u00e8s', 'Volkswagen', 'berline', 'V\\u00e9hicule', 'V\\u00e9hicule']","['yellow', 'young', 'hen', 'giblet', 'Fowl', 'fowl']","['Spoonful', 'Sugar', 'pathogen', 'healing', 'chemotherapy', 'vancomycin']","['hammer', 'Resolve', 'Shed', 'pliers', 'Hand-held', 'Spanner']","['rock', 'Rosetta', 'Weight', 'British', 'rhyolite', 'boulder']","['Insane', 'Butter', 'cashew', 'pecan', 'Hazel', 'Hazel']","['Obst', 'Beeranlage', 'Zwerg', 'Beete', 'Gr\\u00fcnanlage', 'Gr\\u00fcnanlage']","['Clothes', 'Special', 'School', 'identical', 'Consistent', 'consistent']","['Place', 'Louvre', 'MAS', 'exhibition', 'Art', 'Antiquities']","['Boule', 'Cochonnet', 'cochonnet']","['Band', 'Call', 'Circle', 'Circle']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Pink', 'Small', 'Jumbo', 'Wimpy', 'Bubba', 'Crabs']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Curcuma', 'Curry', 'Cannelle', 'Cannelle']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['None', 'Cliff', 'Space', 'Graph', 'Graph']","['tooth', 'doctor', 'teeth', 'teeth']","['wildlife', 'Cages', 'Exhibits', 'park']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['date', 'Fireman', 'Advent', 'Gregorian', 'advent', 'Gregorian']","['Station', 'Hand', 'air', 'storage', 'water', 'sump']","['Brine', 'Marine', 'Can', 'Piano', 'Piano']","['white', 'flake', 'leopard', 'plough']","['Tagine', 'Quinoa', 'ball', 'Semolina', 'tiny']","['dumbarton', 'Bay', 'Carquinez', 'span']","['Dance', 'cash', 'precipitation', 'Agua.Artillery', 'wet']","['Circulaire', 'Jonc', 'Pr\\u00e9cieux', 'Pr\\u00e9cieux']","['Marathon', 'Chugga', 'Amtrak', 'Steam', 'Caboose', 'Caboose']","['skipping', 'stretch', 'knot', 'sails']","['Migration', 'stitch', 'Insect', 'winged', 'Emerge']"
Mystery Word,Professor,Champagne,Machine,Tente,Strawberry,Tarte,Perfume,Tuna,Alarm,\u00c9toile,Ladder,Herbe,Butcher,Musketeer,Palm,Slide,Alcohol,Calendar,\u00c9olienne,Pipe,Escalade,Caravane,Volcano,Zoo,Lamb,Rum,Nut,Nuage,Poil,Film,Brush,Tip,Pirate,Moutarde,Ballroom,Karate,Arrow,Sunday,Virus,Morning,Wind,Morning,Mirage,Trailer,Cream,Butcher,Bracelet,Rock,Voiture,Chicken,Medicine,Tool,Stone,Nut,Garten,Uniform,Museum,P\u00e9tanque,Ring,Nombril,Shrimp,Ski,\u00c9pice,Dinosaur,Bar,Dentist,Zoo,Arrow,Calendar,Pump,Tuna,Snow,Couscous,Bridge,Rain,Anneau,Train,Rope,Butterfly
Guess,,victoire,Bat,Tente,Strawberry,Tarte,Perfume,Fish,Horror,Etoile,Acrobat,herbe,butcher,Soldier,,Slide,alcohol,Calendar,\u00c9olienne,pipe,Escalade,Caravane,Volcano,,,rum,Nut,Nuage,poil,Film,Brush,,revolution,Moutarde,Metal,karate,arrow,igiveup,Virus,Morning,Wind,Star,Mirage,Trailer,Cream,mannaiaLa,Bracelet,Rock,Voiture,chick,medicine,Tool,stone,nut,Garten,uniform,Show,,group,Nombril,elephant,skate,Epice,Dinosaur,Void,Dentist,Zoo,compass,hot,Pump,,snow,Rice,bridge,rain,Anneau,Train,Rope,Butterfly
