ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64
Table Number,422993601,422811281,422785803,422754186,422700764,422619886,422601044,422510456,422403936,422252705,422181019,422150104,422117089,421816177,421810395,421538607,421518328,421472241,421464067,421204617,421124734,421118799,421090546,420914272,420915251,420856746,420636570,420552674,420424922,420350553,420021280,419916958,419815049,419646476,419632266,419528476,419457079,419009723,418688067,418687072,418252645,417580076,417516457,417293768,417280097,416707418,416596102,416472947,416390940,415744082,415416434,415379476,414619799,414421224,412947977,412907496,411179061,359973908,358827793,350481361,348838927,344838144,319065151,318673641
Move,6,12,9,8,22,20,5,9,14,36,35,12,21,24,10,54,55,30,73,18,35,47,37,10,26,80,51,18,45,84,50,91,66,21,73,95,105,59,8,71,7,34,30,65,35,52,64,15,49,37,91,19,12,43,114,11,38,3017,1140,3265,1185,979,198,2854
Clues,"['Ratgeber', 'Nachschlagwerk', 'Auto', 'Umfangreich', 'Anleitung', 'Anleitungsheft']","['King', 'Home', 'building', 'moat', 'siege', 'bastion']","['Mirror', 'Gaze', 'Gorgon', 'petrify', 'stone', 'stone']","['yellow', 'Candle', 'Moist', 'wedding', 'Antoinette']","['petal', 'rose', 'Hydrangea', 'Lilac', 'Tulip', 'Daffodil']","['Warren', 'Lawyer', 'Lawyer', 'Warren']","['Pieds', 'Tissu', 'protection', 'panard']","['keyboard', 'CPU', 'iMac', 'Monitor']","['Tiara', 'Diadem', 'head', 'monarch', 'sovereignty', 'cap']","['join', 'Ripper', 'thread', 'Sewing', 'sewing', 'Sew']","['Mary', 'Infant', 'wool', 'Wool']","['nightmare', 'sweet', 'Sleep', 'Catcher', 'Catcher', 'Sleep']","['agent', 'Rosenbergs', 'Mission', 'I']","['Phonetics', 'Newfie', 'dialect', 'language', 'hyundai', 'voice']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['\\u00c9quitation', 'selle', 'Cheval', 'shetland', 'Shetland', 'Shetland']","['central', 'hilarious', 'drama', 'funny', 'Improv', 'genre']","['Pandora', 'Wrist', 'armband', 'wristband', 'jewellery', 'Jewellery']","['X', 'chest', 'Booty', 'Pirate', 'pirates', 'pirate']","['details', 'Old', 'Scratch', 'Hell', 'prada', 'Prada']","['Chargeur', 'Stockage', 'Rechargeable', 'Pile']","['trump', 'swing', 'Birdie', 'Putt', 'persique', 'caddie']","['Tea', 'Sweet', 'Fuzz', 'princess', 'Mario', 'pink']","['tooth', 'doctor', 'teeth', 'teeth']","['Lame', 'Couperet']","['beach', '\\u30d3\\u30fc\\u30c1', '\\u3057\\u304c\\u3044\\u305b\\u3093', '\\u3072\\u3088\\u3051', '\\u3072\\u3088\\u3051']","['higgins', 'einstein', 'Proton', 'Dumbledore', 'Xavier', 'Charles']","['chineese', 'kung', 'fu', 'monochrome', 'bear', 'bear']","['T\\u00e4ufling', 'Sizilien', 'brando', 'pferdekopf', 'Filmtitel', 'Taufe']","['Ted', 'kill', 'Paper', 'William', 'Cash', 'Receipt']","['Nugget', 'element', 'Pyrite', 'Bar', 'Winner', 'Ingot']","['Pan', 'quer', 'Schlangenbeschw\\u00f6rer', 'Block', 'T\\u00f6ne', 'Holz']","['tesla', 'varta', 'Charger', 'Car', 'Cell', 'Assault']","['Click', 'Wool', 'Pruning', 'Pruning']","['address', 'postmarked', 'Lick', 'stamp', 'mail', 'Mail']","['Matelot', 'Bulle', 'Bain', 'Chocolat', 'Raser', 'apprenti']","['Just', 'Gratuity', 'Tilt', 'money', 'point', 'point']","['billy', 'Animal', 'mountain', 'Cloven', 'Greatest', 'Greatest']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['digging', 'grotto', 'Underground', 'Passage']","['Australia', 'aussie', 'Grill', 'Grill']","['Feest', 'Geschenken', 'Taart', 'Cadeau\\u2019s']","['shoestring', 'wedges', 'McDonald\\u2019s', 'Vegetable', 'Poutine', 'Chips']","['bullion', 'Plated', 'Karat', 'Au', 'Au']","['Mehrzahl', 'Zugspitze', 'Alpen', 'Besteigen']","['Nachtmusik', 'Wunderkind', 'Schokoladenkugel', 'Komponist']","['Amundsen', 'Ross', 'Diktator', 'Pot', 'Nord', 'Plus']",[],"['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['Sticky', 'Goop', 'Hair', 'Hair']","['dames', 'R\\u00e9ussite', 'Damier', 'Jeu', 'Tartakover', 'rat\\u00e9']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['see-through', 'spectacles', 'Window', 'Transparent', 'looking', 'menagerie']","['Hoss', 'Manager', 'Director', 'Captain', 'Bruce', 'Springsteen']","['Ember', 'prom\\u00e9th\\u00e9e', '\\u00c9tincelle', '\\u00e9tincelle', 'olympique', 'Olympique']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Urgent', 'Nurse', 'Siren', '911']","['Pern', 'Danger', 'Clotho', 'sew', 'sheet', 'count']","['Dindon-de-la', 'Blague', 'Oignon', 'Fait']","['Piggyback', 'Share', 'die', 'Rollercoaster']","['SFR', 'Vigilance', 'couleur', 'M\\u00e9canique', 'M\\u00e9canique', 'couleur']","['lotus', 'ginger', 'Canal', 'Canal']","['electricity', 'spinning', 'plane', 'drive']","['Siamese', 'Minnesota', 'Identical', 'Schwarzenegger', 'DeVito']"
Mystery Word,Handbuch,Castle,Medusa,Cake,Flower,Attorney,Chaussette,Computer,Crown,Seam,Lamb,Dream,Spy,Accent,Poule,Poney,Comedy,Bracelet,Treasure,Devil,Batterie,Golf,Peach,Dentist,Guillotine,Parasol,Professor,Panda,Pate,Bill,Gold,Fl\u00f6te,Battery,Shears,Envelope,Mousse,Tip,Goat,Rum,Tunnel,Barbecue,Birthday,Fries,Gold,Berge,Mozart,Pol,Trailer,Kette,Gel,\u00c9chec,Oasis,Glass,Boss,Flamme,Guillotine,Emergency,Thread,Farce,Ride,Orange,Root,Turbine,Twins
Guess,Atlas,Castle,look,Cake,flower,Skip,Chaussette,Computer,Crown,Seam,Jesus,dreams,Spy,Accent,Poule,Harnais,Theatre,jewellery,Treasure,devil,Batterie,Golf,Peach,Dentist,Couteau,sun,professor,Karate,Pate,bill,gold,Fl\u00f6te,Battery,,Letter,Mousse,Tip,Goat,,Cave,Kangaroo,Birthday,Potato,Gold,Gipfel,Mozart,,,Kette,Jelly,\u00c9chec,,Glass,Boss,Dieu,,emergency,thread,Farce,Ride,Orange,root,engine,twins
