ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78
Table Number,425385652,424964423,424881029,424831564,424829121,424818463,424712916,424693991,424591849,424482798,424488106,424472569,424326269,424282330,424039629,423902314,423805654,423765359,423734854,423672931,423661597,423246087,423227064,422908962,422866724,422758859,422750359,422750949,422700764,422601044,422598146,422540133,422483493,422352998,422242200,422141451,422118445,422101259,422107292,422080187,421810395,421702805,421470941,421348499,421315859,421207764,420914272,420382586,420372008,420079171,420044704,420035270,419089288,418688067,418252645,417918992,417580076,417255169,416516806,416390940,415744082,415379476,414860883,414619799,414421224,412907496,411328429,411179061,389157129,374138794,357991900,350481361,349338828,338553253,331907183,330654495,321888448,319065151
Move,73,62,18,15,18,18,18,59,18,18,18,5,14,46,47,36,33,46,63,31,80,56,35,40,32,37,36,42,67,25,92,96,72,27,56,50,43,66,5,46,10,58,60,26,68,56,10,100,62,100,103,39,120,8,7,36,39,123,74,49,48,19,103,18,73,11,73,53,922,758,274,3339,2918,1280,754,1796,2281,215
Clues,"['bolts', 'robots', 'engine', 'CNC', 'N1', 'Robot']","['wheeeeeeeeeeeeeee', 'pole', 'projector', 'whistle']","['tea', 'coffee', 'Water', 'cake', 'Drinking', 'Dish']","['Sonnerie', 'Bruyante', 'Incendie', 'Incendie']","['Hour', 'sundial', 'timekeeper', 'Haley', 'grandfather', 'Tock']","['Video', 'Lava', 'Pipe', 'You', 'subway', 'Toothpaste']","['Jewelry', 'lanyard', 'Collar', 'wear', 'Choker', 'Pearls']","['Zombies', 'Gotas', 'Cubreagua', 'resident-evil']","['Bluebottle', 'Tsetse', 'HM', 'Helicopter', 'airplane', 'Aeroplane']","['Fromage', 'S\\u00e9guin', 'animal', 'Lait', 'Bouc', 'anus']","['Monster', 'Oreo', 'snickerdoodle', 'snickerdoodle']","['evaporated', 'cream', 'Lactosing', 'Dud']","['Melkstand', 'Landwirtschaft', 'Agrarbetrieb', 'K\\u00fche']","['anaconda', 'Fourchelang', 'Vip\\u00e8re', 'cobra', 'Sonnette', 'Sonnettes']","['Ballast', 'coca\\u00efne', 'aventuriers', 'coke', 'Aventuriers', 'Coke']","['v\\u00e9hicule', 'explosion', 'Diesel', 'Rotor', 'essence', '\\u00c9nergie']","['spring', 'spring', 'spring', 'Snake', 'snake']","['xavier', 'Occupation', 'Tenure', 'Tournesol', 'instructor', 'Lecturer']","['Pr\\u00e4gung', 'Hochzeitsschmuck', 'Hochzeit', 'Selbstgeschmiedete', 'Ringfinger', 'Goldschmied']","['Play', 'Football', 'Catan', 'Hanabi', 'Board', 'Board']","['boxe', 'Coche', 'Ts\\u00e9-ts\\u00e9', 'Ts\\u00e9ts\\u00e9']","['911', 'Pole', 'Extinguish', 'hose', 'Burning', 'Axe']","['r\\u00e9p\\u00e8te', 'oiseau', 'K\\u00e9a', 'Kakapo']","[""Tim'Cook"", 'pie', 'Newton', 'an', 'Red']","['Held', 'forearm', 'Armor', 'Armor']","['La-Z-Boy', 'Ottoman', 'Big', 'Sofa', 'Divan', 'Furniture']","['Song', 'Remix', 'Not', 'Original', 'Shelter', 'Wrapping']","['incline', 'steep', 'mole', 'hill', 'climb', 'bike']","['Blattodea', 'Insect', 'Dirty', 'kafka', 'Exoskeleton', 'Invincible']","['Meute', 'Montagne', 'Chien', 'Sauvage']","['Puma', 'Mountain', 'Housewife', 'Cat', 'milf', 'milf']","['Sly', 'Kraftprotz', 'Filmtitel', 'Actionfilm']","['Happy', 'Disco', 'Rumba', 'Salsa', 'Ballet', 'Ballet']","['Womans', 'Shape', 'Pear', 'Pear']","['Trex', 'cr\\u00e9ature', 'disparu', 'Oiseaux', 'Denver', 'Denver']","['Head', 'protective', 'bike', 'protection', 'protection']","['Romantic', 'Romance', 'Flower', 'Red', 'Thorny', 'Thorny']","['Upwards', 'A-frame', 'step', 'career']","['rubbing', 'isopropyl', 'Wine', 'Scotch']","['runner', 'tapestry', 'Thick', 'toupee', 'Mat', 'Drapes']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Shirt', 'Pullover', 'Arm', 'Tubular', 'green', 'Protective']","['Blackbead', 'Pugwash', 'Plank', 'Bluebeard']","['Seats', 'Cushions', 'Settee', 'Sofa', 'Sofa', 'Settee']","['young', 'secondary', 'Major', 'Juvenile', 'teen', 'flat']","['tooth', 'doctor', 'teeth', 'teeth']","['Nirvana', 'Perforation', 'mend', 'watering', 'Tee']","['Respirator', 'N95', 'Awooga', 'Hider', 'Surgical', 'Cloth']","['pluvieux', 'montgolfi\\u00e8re', 'Septi\\u00e8me', 'Firmament', 'Haut', 'Mardi']","['Beach', 'Paper', 'glass', 'Grains', 'grain']","['tub', 'wash', 'Bubble', 'Shower', 'Toilette', 'Scrub']","['kodak', 'Aperture', 'obscura', 'snap', '35mm', 'Lens']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Lion', 'Badge', 'Honor', 'Silver', 'Trophy', 'Prize']","['MonaLisa', 'Schreeuw', 'Penseel', 'Kleuren']","['Trail', 'road', 'Guide', 'Bannister', 'Gun', 'Train']","['calm', 'tranquility', 'Green', 'hippies', 'dove', 'Dove']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['Write', 'Crush', 'Written', 'Message']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['natal', 'Annual', 'sixteenth', 'Candle', 'Cake', 'Candles']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Energy', 'Bubble', 'Guard', 'Protect', 'Tortoise', 'Formation']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Periplaneta', 'Raid', 'Black', 'Exterminate', 'Bug']","['Sicilian', 'godfather', 'Prohabition', 'Guns']","['wrench', 'Ape', 'Powerlines', 'Luffy', 'Kong']","['arabica', 'robusta', 'Pact', 'Cappuchino']","['Mines', 'Gimli', 'Dopey', 'Tyrion', 'Short', 'Beards']","['Magistrate', 'Objection', 'District', 'Esquire']","['GAme', 'Surf', 'ironing', 'Monopoly', 'charcuterie']","['Smooth', 'Inclined', 'snakes', 'Delta', 'Level', 'Pilot']","['Ford', 'Matchbox', 'Vroom', 'Toyota', 'Truck', 'Automobile']","['Ilumina', 'poente', 'Flare', 'eclipse', 'Microsystems', 'brilho']","['prick', 'Embroidery', 'Metal', 'Eye', 'Haystack', 'Haystack']","['aang', 'barn', 'Viento', 'remolino']"
Mystery Word,Machine,Slide,Cup,Alarme,Clock,Tube,Necklace,Umbrella,Fly,Ch\u00e8vre,Cookie,Milk,Bauernhof,Serpent,Rail,Moteur,Coil,Professor,Ehering,Game,Mouche,Firefighter,Perroquet,Apple,Shield,Couch,Cover,Mountain,Cockroach,Loup,Cougar,Rambo,Dance,Pear,Dinosaure,Helmet,Rose,Ladder,Alcohol,Rug,Poule,Dinosaur,Sleeve,Pirate,Couch,Minor,Dentist,Hole,Mask,Ciel,Sand,Bath,Camera,Rum,Barbecue,Medal,Painting,Rail,Peace,Kette,Letter,Oasis,Birthday,Arrow,Shield,Guillotine,Cockroach,Mafia,Monkey,Coffee,Dwarf,Attorney,Board,Plane,Car,Sun,Needle,Tornado
Guess,manufacture,Slide,Cup,Alarme,Clock,Tube,Necklace,Umbrella,Fly,Ch\u00e8vre,Cookie,Milk,bauernhof,Serpent,Drogue,moteur,,professor,Ehering,games,,Fire,Perroquet,apple,,couch,Cover,mountain,Cockroach,Loup,,Stallone,Dance,Bell,Dinosaure,Helmet,Rose,ladder,Alcohol,carpet,Poule,Dinosaur,jacket,pirate,Sofa,school,Dentist,hole,mask,Ciel,Sand,Bath,camera,,Kangaroo,Medal,Painting,Rail,peace,Kette,Note,,Birthday,compass,Shield,,Roach,mafia,Monkey,coffee,DWARF,Lawyer,Board,plane,Car,sun,needle,wind
