ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65
Table Number,425346001,425251048,425126523,425057912,424964423,424956812,424938682,424911585,424766177,424712916,424670799,424669522,424657866,424633906,424507759,424454249,424326269,423942756,423734854,423677151,423672931,423184289,423113974,422914441,422908962,422866724,422721709,422372568,422352998,422107292,421981250,421857383,421810395,421702805,421448482,421348499,420914272,420835072,420699835,420424922,420372008,420079171,420044704,420032970,419089288,418688067,418633062,418252645,418109392,417918992,417255169,416390940,415379476,414619799,412907496,411328429,411179061,389157129,357991900,357001162,353362991,346689693,323499397,319065151,318929216
Move,8,6,6,37,62,14,25,7,31,18,24,20,14,19,13,26,21,66,63,30,31,64,64,62,40,32,68,75,27,5,52,82,10,58,81,26,10,93,74,82,62,100,103,51,120,8,36,7,102,36,123,49,19,18,11,73,53,922,274,1461,951,1220,3534,215,2262
Clues,"['Rainbows', 'horn', 'mythical', 'pointy', 'Billion']","['Sliced', 'Toast', 'bake', 'wheat', 'Money', 'Crust']","['shelter', 'patio', 'wetness', 'shield', 'Accessory', 'Protect']","['Bubo', 'wise', 'Hoot', 'Pygmy', 'Nocturnal', 'Nocturnal']","['wheeeeeeeeeeeeeee', 'pole', 'projector', 'whistle']","['Prison', 'pet', 'Iron', 'Dancing']","['Fancy', 'Oil', 'Mushroom', 'Salt']","['Schutzgeld', 'Pate', 'Sizilien', 'Ndrangheta']","['Gl\\u00fcckspirale', 'Toto', 'Losgewinn', 'Gl\\u00fccksspiel', 'sechs', 'neunundvierzig']","['Jewelry', 'lanyard', 'Collar', 'wear', 'Choker', 'Pearls']","['Tasse', 'Material', 'Keramik', 'brennen', 'Geschirr', 'Meissner']","['Klempner', 'toad', 'Adorf', 'Digital', 'playstation', 'Luigi']","['Klunker', 'Accessoires', 'Perlenohrring', 'Zierde', 'Schatulle', 'Schatulle']","['Gogh', 'masterpiece', 'Solaris', 'Bloom', 'Yellow', 'Fields']","['coagulate', 'dispersion', 'Translucent', 'paste', 'lighting', 'congeal']","['Spielkonsole', 'FIFA', 'Controller', 'Zacken']","['Lenin', 'Umbruch', '1848', 'Robbespierre']","['photo', 'Blinding', 'Lightning', 'flood', 'Arc', 'Superhero']","['Pr\\u00e4gung', 'Hochzeitsschmuck', 'Hochzeit', 'Selbstgeschmiedete', 'Ringfinger', 'Goldschmied']","['Egyptian', 'Akhenaten', 'Khufu', 'Egypt', 'king', 'King']","['Play', 'Football', 'Catan', 'Hanabi', 'Board', 'Board']","['Sabrina', 'Schiappa', 'mal\\u00e9fice', 'Potions', 'Chaudron', 'Charmed']","['\\u30c9\\u30eb', '\\u30ea\\u30e9', '\\u30a6\\u30a9\\u30f3', '\\u30bb\\u30f3\\u30c8']","['Th\\u00e9\\u00e2tre', 'esp\\u00e8ces', 'Unit\\u00e9', 'Ecu', 'monnaie', 'Monnaie']","[""Tim'Cook"", 'pie', 'Newton', 'an', 'Red']","['Held', 'forearm', 'Armor', 'Armor']","['Minecraft', 'pyramid', 'Fire', 'Signal', 'Truth', 'Light']","['Bleat', 'Gamey', 'Spring', 'baby', 'baaa', 'Young']","['Womans', 'Shape', 'Pear', 'Pear']","['rubbing', 'isopropyl', 'Wine', 'Scotch']","['Chutes', 'Werner', 'Rung', 'Runs']","['Ambergris', 'Rose', 'Murderer', 'Smell', 'chanel', 'Grasse']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['\\u00c4hre', '450', 'Gluten', 'Wei\\u00dfbier', 'Bier', 'Bier']","['Blackbead', 'Pugwash', 'Plank', 'Bluebeard']","['tooth', 'doctor', 'teeth', 'teeth']","['Private', 'Clues', 'Scooby', 'Agent', 'homicide', 'Pikachu']","['Pooh', 'well', 'Monster', 'Bees']","['Pferderennen', 'Gewinner', 'Gottschalk', 'Gl\\u00fccksspiel', 'Gottschalk', 'Gl\\u00fcckspiel']","['Respirator', 'N95', 'Awooga', 'Hider', 'Surgical', 'Cloth']","['pluvieux', 'montgolfi\\u00e8re', 'Septi\\u00e8me', 'Firmament', 'Haut', 'Mardi']","['Beach', 'Paper', 'glass', 'Grains', 'grain']","['Venasaur', 'Ivysaur', 'idea', 'wattage', 'Onion', 'Tulip']","['kodak', 'Aperture', 'obscura', 'snap', '35mm', 'Lens']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Travelling', 'Time', 'summer', 'holiday', 'Getaway', 'Fiji']","['Australia', 'aussie', 'Grill', 'Grill']","['defensiv', 'Bunker', 'Milit\\u00e4r', 'Schild', 'Angriff', 'Deckung']","['Lion', 'Badge', 'Honor', 'Silver', 'Trophy', 'Prize']","['Trail', 'road', 'Guide', 'Bannister', 'Gun', 'Train']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Periplaneta', 'Raid', 'Black', 'Exterminate', 'Bug']","['Sicilian', 'godfather', 'Prohabition', 'Guns']","['wrench', 'Ape', 'Powerlines', 'Luffy', 'Kong']","['Mines', 'Gimli', 'Dopey', 'Tyrion', 'Short', 'Beards']","['Text', 'Thick', 'Paperback', 'Fiction', 'Log', 'Face']","['engine', 'boat', 'Hbbrbrbrbl', 'rev']","['sardoche', 'requin-marteau', 'polochon', 'nemo']","['Sherwood', 'centerparcs', 'Shuffle', 'rain', 'Moss', 'Squirrel']","['aang', 'barn', 'Viento', 'remolino']","['Pern', 'Bearded', 'Tiamat', 'Cuba', 'April']"
Mystery Word,Unicorn,Bread,Umbrella,Owl,Slide,Cage,Truffle,Mafia,Lotterie,Necklace,Porzellan,Mario,Schmuck,Sunflower,Gel,PlayStation,Revolution,Flash,Ehering,Pharaoh,Game,Sorci\u00e8re,Currency,Pi\u00e8ce,Apple,Shield,Beacon,Lamb,Pear,Alcohol,Ladder,Perfume,Poule,Dinosaur,Weizen,Pirate,Dentist,Detective,Honey,Wette,Mask,Ciel,Sand,Bulb,Camera,Rum,Vacation,Barbecue,Verteidigung,Medal,Rail,Kette,Oasis,Arrow,Guillotine,Cockroach,Mafia,Monkey,Dwarf,Book,Motor,Poisson,Forest,Tornado,Dragon
Guess,unicorn,Bread,rain,Owl,Slide,Cage,Truffle,Mafia,Lotto,Necklace,Porzellan,Mario,Schmuck,sunflower,Spread,PlayStation,Revolution,Flash,Ehering,Pharoah,games,sorci\u00e8re,currency,pi\u00e8ce,apple,,Beacon,Lamb,Bell,Alcohol,Ladder,perfume,Poule,Dinosaur,Mehl,pirate,Dentist,Detective,Honey,jockey,mask,Ciel,Sand,Sunlight,camera,,Vacation,Kangaroo,Verteidigung,Medal,Rail,Kette,,compass,,Roach,mafia,Monkey,DWARF,Book,motor,Poisson,forest,wind,dragon
