ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71
Table Number,434685758,434417547,434398760,434296671,434228006,434210194,434187434,434158232,434099941,434053576,433764945,433597894,433545989,433496640,433409424,433381958,433359411,433177229,433091936,432942114,432865949,432673202,432648572,432642791,431905450,431890304,431831011,431423023,431356594,431323863,431297915,431224975,430914777,430847224,430759689,430082506,429646944,429379635,429314903,429271612,429213142,428993727,428958502,428936616,428250065,428026154,427705683,427516381,426998428,425165350,424877761,424525565,424325839,422090899,422023905,421989754,421702805,421202126,420914272,414619799,413563103,396307534,393621459,393453511,349338828,344838144,330741642,324806575,319065151,314360735,312552889
Move,6,19,6,9,20,9,30,9,6,41,7,49,18,55,47,68,48,42,18,20,20,36,8,44,59,32,56,100,8,51,45,56,50,47,72,84,73,109,55,30,28,108,31,57,81,65,44,101,91,47,233,40,92,65,41,61,58,48,10,18,54,229,613,607,3264,1179,1903,1398,262,2405,1854
Clues,"['Barth', 'Luigi', 'Basler', 'Vorname', 'Videospiel', 'Klempner']","['Xenon', 'hydrogen', 'Benzine', 'helium', 'petrol', 'solid']","['cube', 'Cane', 'Cube', 'Cane']","['climb', 'tights', 'rung', 'Rungs', 'Step', 'Step']","['Tesla', 'Fusili', 'mortal', 'Spiral', 'wire', 'wire']","['haschich', 'pissenlits', 'Pr\\u00e9', 'Joint', 'Gazon', 'Gazon']","['Gun', 'Swordsmen', 'Three', 'Three']","['K\\u00e9a', 'Ara', 'Cocktail', 'cocktail', 'ara', 'Ara']","['month', 'weekly', 'Gregorian', 'Lunar', 'Schedule', 'Google']","['Produce', 'Carrot', 'kale', 'Garden', 'Garden']","['Pales', '\\u00c9lectricit\\u00e9', 'Ventilateur', 'ventilateur']","['sarrazin', 'Ingr\\u00e9dient', 'Ma\\u00efzena', 'Moulin', 'Blanche', 'blanche']","['Sapphire', 'Bauble', 'precious', 'Crown', 'Gem', 'gem']","['Fl\\u00fcgel', 'Steinway', 'Kleidermann', 'Pedal', 'Instrument', 'Tasteninstrument']","['cantaloupe', 'Summer', 'Oval', 'honeydew', 'head', 'Noggin']","['\\u00dcberlieferung', 'G\\u00f6tter', 'Antike', 'Legende', 'Legende', 'Legende']","['Sctv', 'Funny', 'entertainment', 'laugh', 'Chaplin', 'Show']","['Checked', 'handler', 'Carry-on', 'Heavy']","['tente', 'Cort\\u00e8ge', 'raphael', 'M\\u00e9haris', 'Maison', 'CHARETTE']","['sorcerer', 'illusionist', 'wizard', 'wizard']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['K\\u00e9a', 'Cacato\\u00e8s', 'Exotique', 'Ara', 'r\\u00e9p\\u00e8te', 'R\\u00e9p\\u00e8te']","['Milkshake', 'Smoothie', 'Shortcake', 'Shortcake', 'Shortcake']","['Shoes', 'Twins', 'Aces', 'fruit', 'two', 'two']","['chronical', 'heritage', 'past', 'timeline', 'Museum', 'museum']","['Mercurio', 'dancing', 'Strictly', 'strictly']","['Miyagi', 'Kid', 'Martial', 'martial', 'Kick', 'Kick']","['Cheshire', 'panther', 'Whiskers', 'Meow', 'Calico', 'Tom']","['Chill', 'relax', 'Bloody', 'rest']","['Syrup', 'Toffee', 'candy', 'Powder', 'sweet', 'Sweet']","['Worm', 'Page', 'chapter', 'Dictionary', 'tome', 'tome']","['Leader', ""Who's"", 'Office', 'Head', 'Employer', 'Employer']","['Samsung', 'nebula', 'interstellar', 'Andromeda', 'M31', 'Space']","['sunrise', 'sun', 'Dawn', 'dawn']","['oasis', 'vision', 'de', 'illusion', 'Illusion']","['cinematic', 'towed', 'preview', 'doublewide', 'hitch', 'semi']","['chord', 'Teenager', 'Insignificant', '17', 'Underage', 'Underage']","['Fancy', 'reservation', 'establisment', 'waiter', ""Applebee's"", 'Applebees']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Wrist', 'Band', ""Wrist's"", 'Decoration']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['hammer', 'Resolve', 'Shed', 'pliers', 'Hand-held', 'Spanner']","['rock', 'Rosetta', 'Weight', 'British', 'rhyolite', 'boulder']","['ivory', 'trumpeting', 'schnozz', 'pachyderm', 'trunk', 'trunk']","['Insane', 'Butter', 'cashew', 'pecan', 'Hazel', 'Hazel']","['Obst', 'Beeranlage', 'Zwerg', 'Beete', 'Gr\\u00fcnanlage', 'Gr\\u00fcnanlage']","['pretty', 'umbrella', 'rain', 'blocker']","['LouisXIV', 'Monarque', 'souverain', 'Arthur', 'Charlemagne', 'Gradlon']","['Boule', 'Cochonnet', 'cochonnet']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['berry', 'Roma', 'valencia', 'paste']","['Prong', 'Branch', 'lightning', 'Tongue', 'Tongue']","['Speed', 'Motor', 'Converting', 'Wind', 'rotate', 'mechanical']","['Pink', 'Small', 'Jumbo', 'Wimpy', 'Bubba', 'Crabs']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Curcuma', 'Curry', 'Cannelle', 'Cannelle']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['None', 'Cliff', 'Space', 'Graph', 'Graph']","['tooth', 'doctor', 'teeth', 'teeth']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['date', 'Fireman', 'Advent', 'Gregorian', 'advent', 'Gregorian']","['Station', 'Hand', 'air', 'storage', 'water', 'sump']","['commune', 'Freebox', 'francaise', '1789', '1789']","['Brine', 'Marine', 'Can', 'Piano', 'Piano']","['Witch', 'Watership', 'Girl', 'Eyes', 'Color']","['dumbarton', 'Bay', 'Carquinez', 'span']","['Boisson', 'Mousseux', 'Bulle', 'Perignon']","['Marathon', 'Chugga', 'Amtrak', 'Steam', 'Caboose', 'Caboose']","['skipping', 'stretch', 'knot', 'sails']","['vampires', 'Dip', 'Flavour', 'Allium', 'seasoning', 'Seasoning']","['Migration', 'stitch', 'Insect', 'winged', 'Emerge']"
Mystery Word,Mario,Gas,Sugar,Ladder,Coil,Herbe,Musketeer,Perroquet,Calendar,Vegetable,\u00c9olienne,Farine,Jewel,Klavier,Melon,Mythos,Comedy,Baggage,Caravane,Magician,Lamb,Perroquet,Strawberry,Pair,History,Ballroom,Karate,Cat,Sunday,Sugar,Book,Boss,Galaxy,Morning,Mirage,Trailer,Minor,Restaurant,Butcher,Bracelet,Rock,Tool,Stone,Elephant,Nut,Garten,Parasol,Roi,P\u00e9tanque,Nombril,Tomato,Fork,Turbine,Shrimp,Ski,\u00c9pice,Dinosaur,Bar,Dentist,Arrow,Calendar,Pump,R\u00e9volution,Tuna,Hazel,Bridge,Champagne,Train,Rope,Garlic,Butterfly
Guess,Mario,Gas,Sugar,Acrobat,Pasta,herbe,Soldier,Perroquet,Calendar,Vegetable,\u00c9olienne,Farine,jewel,Klavier,Melon,Olymp,Comedy,Bag,Caravane,Wizard,,Perroquet,Beverage,,History,Metal,karate,cat,igiveup,Sugar,Book,boss,galaxy,Star,Mirage,Trailer,Minor,Restaurants,mannaiaLa,Bracelet,Rock,Tool,stone,elephant,nut,Garten,Parasol,Roi,,Nombril,Tomato,Fork,engine,elephant,skate,Epice,Dinosaur,Void,Dentist,compass,hot,Pump,,,Iris,bridge,Vin,Train,Rope,Garlic,Butterfly
