ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61
Table Number,422785803,422601044,422510456,422464949,422403936,422167135,422150104,422141156,422121672,422117089,422045393,421992093,421816177,421810395,421668226,421518328,421472241,421464067,421202194,421167942,421090546,420992843,420914272,420915251,420636570,420552674,420541848,420424922,420350553,420021280,419916958,419815049,419632266,419457079,419009723,418688067,418687072,418252645,417938945,417580076,417293768,417255169,416734430,416472947,416390940,415744082,415416434,415379476,415298813,414619799,414421224,412947977,412907496,381777020,363390977,357001162,350481361,348838927,323499397,319065151,318929216
Move,9,5,9,32,14,49,12,26,7,21,66,37,24,10,46,55,30,73,55,81,37,20,10,26,51,18,69,45,84,50,91,66,73,105,59,8,71,7,76,34,65,96,60,15,49,37,91,19,52,12,43,114,11,365,679,1430,3265,1185,3453,198,2220
Clues,"['Mirror', 'Gaze', 'Gorgon', 'petrify', 'stone', 'stone']","['Pieds', 'Tissu', 'protection', 'panard']","['keyboard', 'CPU', 'iMac', 'Monitor']","['Cosby', 'Clinton', 'of', 'Rights']","['Tiara', 'Diadem', 'head', 'monarch', 'sovereignty', 'cap']","['Louis', 'Aldrin', 'Radweltmeister', 'Gemini', 'Lance', 'Lance']","['nightmare', 'sweet', 'Sleep', 'Catcher', 'Catcher', 'Sleep']","['Colorful', 'Lizard', 'Blending', 'Reptile']","['written', '1944', 'Past', 'Past']","['agent', 'Rosenbergs', 'Mission', 'I']","['clooney', 'werbung', 'Maschine', 'Getr\\u00e4nk', 'Markenname', 'Koffein']","['Safari', 'Gym', 'George', 'Wild']","['Phonetics', 'Newfie', 'dialect', 'language', 'hyundai', 'voice']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Saroumane', 'pouvoir', 'oz', 'Oz', 'Illusion', 'Illusionniste']","['central', 'hilarious', 'drama', 'funny', 'Improv', 'genre']","['Pandora', 'Wrist', 'armband', 'wristband', 'jewellery', 'Jewellery']","['X', 'chest', 'Booty', 'Pirate', 'pirates', 'pirate']","['tall', 'Tokyo', 'rapunzel', 'khalifa', 'Defense', 'Defense']","['houblon', 'Dame-Jeanne', 'Fut', 'Grimbergen', 'Cercueil']","['Tea', 'Sweet', 'Fuzz', 'princess', 'Mario', 'pink']","['course', 'mini', 'putt', 'Putt-putt']","['tooth', 'doctor', 'teeth', 'teeth']","['Lame', 'Couperet']","['higgins', 'einstein', 'Proton', 'Dumbledore', 'Xavier', 'Charles']","['chineese', 'kung', 'fu', 'monochrome', 'bear', 'bear']","['vodka', 'blue', 'clouds', 'Expansive', 'atmosphere', 'lucy']","['T\\u00e4ufling', 'Sizilien', 'brando', 'pferdekopf', 'Filmtitel', 'Taufe']","['Ted', 'kill', 'Paper', 'William', 'Cash', 'Receipt']","['Nugget', 'element', 'Pyrite', 'Bar', 'Winner', 'Ingot']","['Pan', 'quer', 'Schlangenbeschw\\u00f6rer', 'Block', 'T\\u00f6ne', 'Holz']","['tesla', 'varta', 'Charger', 'Car', 'Cell', 'Assault']","['address', 'postmarked', 'Lick', 'stamp', 'mail', 'Mail']","['Just', 'Gratuity', 'Tilt', 'money', 'point', 'point']","['billy', 'Animal', 'mountain', 'Cloven', 'Greatest', 'Greatest']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['digging', 'grotto', 'Underground', 'Passage']","['Australia', 'aussie', 'Grill', 'Grill']","['Biene', 'Bl\\u00fcten', 'Nelke', 'Primel']","['Feest', 'Geschenken', 'Taart', 'Cadeau\\u2019s']","['bullion', 'Plated', 'Karat', 'Au', 'Au']","['Snow', 'White', 'Season', 'Frost', 'Skiing', 'Cold']","['crossroad', 'Turn', 'Connection', 'connection']",[],"['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['Sticky', 'Goop', 'Hair', 'Hair']","['dames', 'R\\u00e9ussite', 'Damier', 'Jeu', 'Tartakover', 'rat\\u00e9']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['meeting', 'Two', 'bondi', 'Bondi']","['see-through', 'spectacles', 'Window', 'Transparent', 'looking', 'menagerie']","['Hoss', 'Manager', 'Director', 'Captain', 'Bruce', 'Springsteen']","['Ember', 'prom\\u00e9th\\u00e9e', '\\u00c9tincelle', '\\u00e9tincelle', 'olympique', 'Olympique']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Slinky', 'Loaded', 'Season', 'Showers']","['Pins', 'Brunswick', 'gutterball', 'Bumpers', 'Spare']","['Fiddle', 'Viola', 'small', 'Holmes', 'cello', 'cello']","['Piggyback', 'Share', 'die', 'Rollercoaster']","['SFR', 'Vigilance', 'couleur', 'M\\u00e9canique', 'M\\u00e9canique', 'couleur']","['African', 'Jellycat', 'Ivory', 'Hannibal', 'ears', 'tusks']","['electricity', 'spinning', 'plane', 'drive']","['Mellencamp', 'Courteney', 'Town', 'stifler', 'Stifler']"
Mystery Word,Medusa,Chaussette,Computer,Bill,Crown,Armstrong,Dream,Chameleon,History,Spy,Nespresso,Jungle,Accent,Poule,Magicien,Comedy,Bracelet,Treasure,Tower,Bi\u00e8re,Peach,Golf,Dentist,Guillotine,Professor,Panda,Sky,Pate,Bill,Gold,Fl\u00f6te,Battery,Envelope,Tip,Goat,Rum,Tunnel,Barbecue,Blume,Birthday,Gold,Winter,Junction,Trailer,Kette,Gel,\u00c9chec,Oasis,Junction,Glass,Boss,Flamme,Guillotine,Spring,Bowling,Violin,Ride,Orange,Elephant,Turbine,Cougar
Guess,look,Chaussette,Computer,Bill,Crown,MondlandungOderArmstrongFallsEsAuchNamenGibt,dreams,Chameleon,,Spy,Kaffee,jungle,Accent,Poule,Magicien,Theatre,jewellery,Treasure,Tower,Bi\u00e8re,Peach,Golf,Dentist,Couteau,professor,Karate,Sky,Pate,bill,gold,Fl\u00f6te,Battery,Letter,Tip,Goat,,Cave,Kangaroo,Blume,Birthday,Gold,Winter,Corner,,Kette,Jelly,\u00c9chec,,Date,Glass,Boss,Dieu,,Spring,bowling,Violin,Ride,Orange,Elephant,engine,Small
