ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68
Table Number,432021482,431912516,431875780,431690460,431586514,431460581,431427708,431356594,431297915,431208157,430915733,430790870,430750350,430474569,430387767,430329264,430082506,430056297,429726272,429314903,429213142,429193505,429156372,428976160,428965172,428958502,428651985,428304693,428266021,428211444,428177160,427868633,427705683,427686038,427650042,427550737,427407235,426998428,426995116,426835619,426726475,425606297,425540722,425165350,424325839,423741996,423448949,422023905,421810395,421702805,420992843,420914272,418688067,418252645,416390940,414619799,387173467,382303145,381777020,357991900,356959263,343894377,331907183,328236739,323499397,320452280,318929216,314360735
Move,12,9,9,47,34,43,6,8,9,25,32,14,12,24,18,22,58,29,6,55,28,55,69,62,57,13,64,55,25,43,5,22,28,101,34,31,61,91,45,67,79,85,94,47,65,57,44,41,10,58,65,10,8,7,49,18,835,280,571,280,953,1647,793,2540,3728,2022,2312,2381
Clues,"['stein', 'cocoa', 'cup', 'ceramic', 'Crockery', 'Morning']","['belier', 'ovin', 'troupeau', 'Panurge', 'berger', 'Berger']","['Arctic', 'Shark', 'Pacific', 'Saltwater', 'Billy', 'vast']","['disneyfilm', 'Kopenhagen', 'Ariel', 'Mythe', 'Botje', 'Botje']","['pumpkin', 'grass', 'Sow', 'Germinate']","['masse', 'Contondante', 'Nucl\\u00e9aire', 'blanche', 'blanche']","['Viande', 'Long', 'Toulouse', 'Choucroute', 'Strasbourg', 'Strasbourg']","['Chill', 'relax', 'Bloody', 'rest']","['bowl', 'Judy', 'Boxing', 'uppercut', 'fist', 'Fist']","['Gewinn', 'Endspiel', 'Henkelpott', 'Finalsieger', 'DFB', 'Troph\\u00e4e']","['Accident', 'vitale', 'H\\u00f4pital', 'h\\u00f4pital']","['peek', 'Eye', 'espionage', 'espionage']","['Washington', 'Icee', 'Fruit', 'Baby', 'Pie', 'Pie']","['Acrylic', 'landscape', 'Canvas', 'art', 'Pigment']","['Dots', 'insect', 'Scarlet', 'gentleman', 'Aphids', 'aphids']","['nail', 'jack', ""Thor's"", 'MC']","['coconut', 'tropical', 'tree', 'basketball', 'date', 'date']","['Apple', 'Kills', 'Strychnine', 'Toxic', 'Dart', 'Arsenic']","['Nail', 'Pin', 'Tool', 'Hit', 'framing', 'finishing']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['duvet', 'Oreiller', 'Oiseau', 'voler', 'legeret\\u00e9', 'pelage']","['Hern\\u00fd', 'Dobr\\u00fd', 'Sunset', 'Morning', 'Neskoro', 'neskoro']","['Music', 'Live', 'show', 'performance', 'recital', 'unity']","['action', 'campaign', 'Surgery', 'Appendicectomy', 'bypass', 'appendectomy']","['files', 'murder', 'closet', 'suit', 'brief', 'brief']","['decomposing', 'risen', 'necromancy', 'undead']","['ocean', 'Bird', 'Conspiracy', 'coo', 'carrier', 'carrier']","['Illuminate', 'Feather', 'on', 'off', ""R'hllor"", 'dark']","['M\\u00e4rchen', 'Orient', '1001Nacht', 'Disney']","['Finish', 'Finale', 'Complete', 'Story']","['Titanic', 'Bioscoop', 'Popcorn', 'Cinema']","['huge', 'boat', 'frigate', 'vessel']","['snake', 'antidote', 'Hollyweird', 'Cooper', 'Arsenic', 'Arsenic']","['Flutschfinger', 'Bumbum', 'grava', 'kalt']","['Flesh', 'Chopper', 'Pig', 'Sticker', 'Pudge', 'DoTA']","['Walkng', 'Dead', 'Apocalypse', 'WalkingDead']","['Boule', 'Cochonnet', 'cochonnet']","['Pferd', 'Mustang', 'Wallach', 'H\\u00fcssi']","['sailor', 'prison', 'Memories', 'Ted', 'Temporary', 'Drawing']","['Sowing', 'Cultivate', 'MacDonald', 'Agriculture']","['Wipe', 'Blow', 'Snot', 'Epithelial', 'paper', 'Cumrag']","['Salle', 'Ugc', 'Paradiso', 'Film', 'art', 'art']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['coming', 'february', 'Frosty', 'Stark', 'Snow', 'Icy']","['shipwreck', 'lettuce', 'Glacier', 'Titanic']","['venom', 'cyanide', 'Toxin', 'Arsenic', 'Toxin', 'Arsenic']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Carrey', 'Green', 'Covid', 'Protection']","['tooth', 'doctor', 'teeth', 'teeth']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['bratwurst', 'Bangers', 'Grinder', 'Meat', 'Pork', 'pork']","['wyboru', 'Lista', 'Spis', 'Oferta']","['Tooth', 'Sugarplum', 'Tinkerbell', 'Tinkerbell']","['Goatee', 'Lip', 'Caterpillar', 'walrus', 'Handlebar', 'Handlebar']","['defence', 'Protect', 'buckler', 'Maiden', 'Protection', 'Carter']","['Porcelain', 'Ceramic', 'Shower', 'Wall']","['Cave', 'Waterfall', 'Flooded', 'Cavern', 'Cavern', 'Cavern']","['Scraper', 'aviation', 'Clouds', 'starry', 'Up']","['Wonkey', 'Kong', 'Shrek', 'shrek', 'Shrek', 'Shrek']","['Carte', 'Prix', 'petit', 'Liste', 'liste']","['Britney', 'Ringmaster', 'Monty', 'Stardust', 'Roman']","['Arthur', 'Henry', 'regal', 'Monarch', 'monarch', 'monarch']"
Mystery Word,Mug,Mouton,Ocean,Mermaid,Seed,Arme,Saucisse,Sunday,Punch,Pokal,Urgence,Spy,Cherry,Painting,Ladybug,Hammer,Palm,Poison,Hammer,Butcher,Rock,Plume,Evening,Concert,Operation,Case,Zombie,Pigeon,Light,Aladdin,End,Film,Ship,Poison,Eis,Butcher,Zombie,P\u00e9tanque,Hengst,Tattoo,Farm,Tissue,Cin\u00e9ma,Nombril,Winter,Iceberg,Poison,Ski,Poule,Dinosaur,Mask,Dentist,Rum,Barbecue,Kette,Arrow,Sausage,Menu,Fairy,Mustache,Shield,Tile,Grotto,Sky,Donkey,Menu,Circus,King
Guess,Mug,mouton,ocean,Zeemeermin,Seed,arme,saucisse,igiveup,Punch,Pokal,,look,apple,Painting,,hammer,Palm,Poison,hammer,mannaiaLa,Rock,plume,evening,concert,Operation,,Zombie,Seagull,light,Aladdin,Ending,Movie,Ship,venom,Eis,pork,Zombie,,Hengst,sketch,Farm,Tissue,Cin\u00e9ma,Nombril,Winter,Iceberg,poison,skate,Poule,Dinosaur,Mask,Dentist,,Kangaroo,Kette,compass,Sausage,Opcja,Fairy,Mustache,Shield,tile,Grotto,Sky,Donkey,Rabaie,circus,King
