ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77
Table Number,432018473,431932163,431632592,431566021,431367466,431356594,431323863,431297915,431182412,431189902,431136649,431131537,431081437,431028877,430925199,430928604,430742187,430189006,430108156,429982622,429760752,429726272,429608815,429414027,429397094,429314903,429277775,429213142,428976160,428958502,428936616,428864838,428690569,428636072,428537577,428266021,428236413,428211444,428173693,428056255,427865833,427868633,427686038,427675008,427650042,427550737,427407235,427169076,427116969,427118168,426998428,426898697,426817611,426150558,425226140,425165350,424724488,424472569,424325839,423486876,422023905,421810395,421702805,420914272,418688067,418252645,416390940,415621306,414619799,405054016,381777020,374138794,357991900,353362991,344838144,321888448,318929216
Move,7,13,5,9,9,8,20,9,32,54,55,38,29,12,19,39,43,69,27,44,28,6,101,42,30,55,38,28,68,13,26,56,81,69,55,25,124,43,55,55,102,22,101,60,34,31,61,52,96,42,91,101,73,51,32,47,91,53,65,96,41,10,58,10,8,7,49,67,18,633,571,856,280,1171,1120,2435,2320
Clues,"['Fire', 'Timetable', 'Terminal', 'railway']","['Follicle', 'Chest', 'fur', 'head', 'black', 'strings']","['Cream', 'Fruit', 'Lettuce', 'Spinach']","['England', 'Mum', 'Englisch', 'FreddieMercury', '...Elizabeth', 'Krone']","['chops', 'Dolly', 'Sacrificial', 'bah', 'meat', 'Shank']","['Chill', 'relax', 'Bloody', 'rest']","['chairs', 'Manner', 'Cloth', 'Livingroom', 'dinner', 'Dinner']","['bowl', 'Judy', 'Boxing', 'uppercut', 'fist', 'Fist']","['Falling', 'Drops', 'Storm', 'Purple']","['club', 'Voiturette', 'Pelouse', 'Mini-putt', 'par', 'par']","['Greet', 'Arrow', 'ribbon', 'curtsey', 'recurve', 'Recurve']","['mausoleum', 'Boneyard', 'tombstone', 'arlington', 'Graveyard', 'Graveyard']","['Musician', 'Police', 'Bee', 'Hornet']","['Flour', 'Bix', 'gluten', 'barley', 'triticum', 'grain']","['Alcohol', 'Rose', 'Vinhos', 'Viticulture', 'Vino', 'Fermented']","['IT', 'Krusty', 'Tears', 'Coulrophobia', 'Pennywise', 'Pennywise']","['egypt', 'Egyptian', 'ruler', 'Ruler']","['Kate', 'Rock', 'Humidity', 'Randy', 'Randy']","['Bezahlen', 'Yellow', 'Heranwinken', 'Fahrer', 'Elfenbeinfarben', 'Mitfahrzentrale']","['pouch', 'chewing', 'Dunhill', 'nicotine']","['Bowler', 'Fedora', 'Sombrero', 'Top', 'Joker']","['Nail', 'Pin', 'Tool', 'Hit', 'framing', 'finishing']","['Stratford', 'Macbeth', 'Romeo', 'Engl\\u00e4nder', 'Romeo', 'Engl\\u00e4nder']","['Container', 'Flower', 'fluted', 'Urn']","['Neurones', 'Synapses', 'M\\u00e9moire', 'T\\u00eate']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Aviator', 'Light', 'Cockpit', 'Cockpit', 'Airman', 'Airline']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['polish', 'hammered', 'Toe', 'Construction', 'clippers', 'clipped']","['files', 'murder', 'closet', 'suit', 'brief', 'brief']","['advertise', 'groceries', 'stock', 'outlet', 'Barter', 'Bazaar']","['Sink', 'Black', 'pit', 'digging', 'puncher', 'Tunnel']","['Factory', 'day', 'Sleep', 'unconscious', 'Sandman', 'Works']","['Rain', 'precipitation', 'Geo', 'typhoon', 'Thunder', 'Thunder']","['Ice', 'stairs', 'mountaineering', 'Hill', 'Freesolo', 'Crimp']","['Illuminate', 'Feather', 'on', 'off', ""R'hllor"", 'dark']","['trio', 'shooter', 'reservist', 'swashbuckler', 'D\\u2019artagnan', 'Porthos']","['M\\u00e4rchen', 'Orient', '1001Nacht', 'Disney']","['Dragonball', 'yugioh', 'Comic', 'Cosplayvorlage', 'naruto', 'Zeichentrick']","['finale', 'stop', 'Epilogue', 'denouement', 'Finish', 'finish']","['volontaire', '18', 'Secouriste', 'Bonneuil', '\\u00e9chelle', '\\u00e9chelle']","['Titanic', 'Bioscoop', 'Popcorn', 'Cinema']","['snake', 'antidote', 'Hollyweird', 'Cooper', 'Arsenic', 'Arsenic']","['Cha\\u00eene', 'Pesant', 'Lourd', 'Cheville']","['Flutschfinger', 'Bumbum', 'grava', 'kalt']","['Flesh', 'Chopper', 'Pig', 'Sticker', 'Pudge', 'DoTA']","['Walkng', 'Dead', 'Apocalypse', 'WalkingDead']","['Mirage', 'Water', 'Desert', 'Desert']","['Air', 'motor', 'Spin', 'Jet', 'Mechanical']","['Siberian', 'Cat', 'Tony', 'Tony']","['Boule', 'Cochonnet', 'cochonnet']","['Gummi', 'Hohl', 'Boot', 'Ventil', 'Bew\\u00e4sserung', 'Gie\\u00dfen']","['Carving', 'Still', 'Rhodes', 'David', 'David']","['Linebacker', 'Department', 'Lawyer', 'Snape', 'Ministry']","['Socken', 'Wohnung', 'Latschen', 'Latschen']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Orge', 'Thune', 'fric', 'Pognon', 'Flouze', 'Flouze']","['Pizza', 'Humble', 'crust', 'tart']","['coming', 'february', 'Frosty', 'Stark', 'Snow', 'Icy']","['Chromebook', 'Dell', 'Desktop', 'keyboard', 'motherboard', 'machine']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['tooth', 'doctor', 'teeth', 'teeth']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['curse', 'plagues', 'Egypt', 'hardhearted', 'Mummy', 'Ramses']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Trailer', 'Ford', 'pickup', 'fire']","['Tooth', 'Sugarplum', 'Tinkerbell', 'Tinkerbell']","['teacup', 'weather', 'gale', 'gale']","['Goatee', 'Lip', 'Caterpillar', 'walrus', 'Handlebar', 'Handlebar']","['blowhole', 'ecco', 'Tagovailoa', 'gamecube']","['Humongous', 'Goliath', 'Goliath', 'Goliath']","['prevention', 'Block', 'Goalkeeper', 'Protection', 'goal', 'Protect']","['Ante', 'odds', 'Gamble', 'Ladbrokes', 'wager']"
Mystery Word,Station,Hair,Salad,Queen,Lamb,Sunday,Table,Punch,Rain,Golf,Bow,Cemetery,Sting,Wheat,Wine,Clown,Pharaoh,Moss,Taxi,Tobacco,Hat,Hammer,Shakespeare,Vase,Cerveau,Butcher,Pilot,Rock,Nail,Case,Market,Hole,Dream,Storm,Climb,Light,Musketeer,Aladdin,Manga,End,Pompier,Film,Poison,Boulet,Eis,Butcher,Zombie,Oasis,Turbine,Tiger,P\u00e9tanque,Schlauch,Statue,Defense,Hausschuh,Nombril,Bl\u00e9,Pie,Winter,Computer,Ski,Poule,Dinosaur,Dentist,Rum,Barbecue,Kette,Pharaoh,Arrow,Truck,Fairy,Storm,Mustache,Dolphin,Giant,Defense,Bet
Guess,Station,Hair,Salad,Queen,SHEEP,igiveup,Table,Punch,rain,golf,bow,Cemetery,Sting,wheat,Wine,Clown,sphynx,Moss,Taxi,tobacco,hat,hammer,Shakespeare,vase,Cerveau,mannaiaLa,Sunglasses,Rock,nail,,Bargain,Hold,dream,Weather,climbing,light,Musketeer,Aladdin,,Ending,Pompier,Movie,venom,Boulet,Eis,pork,Zombie,Oasis,Plane,Husky,,Schlauch,pumpkin,,Hausschuhe,Nombril,,pie,Winter,Computer,skate,Poule,Dinosaur,Dentist,,Kangaroo,Kette,Pharaoh,compass,Truck,Fairy,storm,Mustache,Dolphin,giant,,Bet
