ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65
Table Number,429735529,429608815,429599604,429480418,429314903,429060628,429067327,429055215,428808818,428694043,428640755,428421255,428304693,428270891,428266021,428173693,428120636,427921682,427675008,427407235,427332531,426921218,426908752,426861261,426817611,426602822,426257197,426117805,426005488,425739621,425492107,425326888,425259753,425165350,423741996,423677151,423616458,423486876,423262633,422090899,422023905,421810395,421702805,420992843,420914272,418688067,418252645,417255169,416390940,415379476,414619799,412907496,411382679,405592455,405054016,374138794,353362991,348302073,336562502,331907183,324806575,324381970,322628136,321888448,319065151
Move,7,9,15,18,54,6,19,12,14,25,29,33,25,25,19,28,49,36,21,31,56,25,48,36,24,98,51,54,75,58,105,56,85,47,46,81,113,74,109,45,41,10,58,55,10,8,7,187,49,19,18,11,303,847,577,826,1088,1821,1160,784,1380,1379,3441,2404,232
Clues,"['Surfers', 'Coldplay', 'Lost', 'garden']","['Schlafen', 'Wohnzimmer', 'R\\u00e9camiere', 'Simpsons', 'chaiselongue', 'Scheselong']","['Plan\\u00e8tes', 'Etoiles', 'Espace', 'Starwars']","['Meat', 'Cylindrical', 'Wiener', 'frankfurter', 'Links', 'links']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Bohemian', 'Rhapsody', 'Herrscherin', 'Verstorben', 'Elisabeth', 'London']","['Fishtail', 'Little', 'Ariel', 'Lagoon', 'Mythical', 'fish']","['Diplodocus', 'Archaeopteryx', 'Urtier', 'Triceratops', 'jurazeit', 'langhals']","['derWelt', '...Schnurr', '...schnur', 'Versorgungsanschluss']","['Paper', 'Admittance', 'Golden', 'Booth', 'to', 'ride']","['Headless', 'France', 'Decapitator', 'execution', 'Executioner', 'Antoinette']","['Sedan', 'clown', 'Three', 'Automobile', 'Driver']","['Yum', 'See\\u2019s', 'Treat', 'Candy', 'fondue', 'Cacao']","['MLM', 'Khufu', 'trangular', 'prism', 'Ancient', 'Aztec']","['Rotate', 'rotor', 'blade', 'machine', 'Generate', 'generator']","['Schwebebahn', 'K\\u00fchlschrank', 'hufeisen', 'Kompassnadel', 'Anziehung', 'Eisen']","['Mario', 'Cobbler', 'Georgia', 'nectarine']","['Bug', 'Sleep', 'Mattress', 'Sleeping']","['Haricot', 'Tigre', 'Grand', 'Vert']","['Rubbing', 'Racefuel', 'Beer', 'Whiskey']","['Action', 'Objectif', 'Tournage', 'Surveillance', 'Bobine', 'Bobine']","['of', 'Monument', 'liberty', 'Liberty']","['Open', 'porthole', 'blinds', 'Opaque', 'House', 'Pane']","[""Gangster's"", 'Tropical', 'pimper', 'nirvana', 'Utopia', 'utopia']","['Line', 'under', 'city', 'polis', 'subway']","['reading', 'reader', 'oil', 'hawaii', 'tropics', 'desert']","['Cap', 'Fedora', 'Trucker', 'Bowler', 'Top', 'Top']","['Davidian', 'perch', 'bank', 'Michelle', 'offshoot', 'offshoot']","['Perdu', 'Foss\\u00e9', 'B\\u00e9ant', 'Golf', 'poin\\u00e7onneur', 'normand']","['stone', 'Blade', 'Claymore', 'Slice', 'fencing', 'Fencing']","['Gas', 'Yellow', 'Dijon', 'Colonel', 'relish', 'stoneground']","['Block', 'Jail', 'unit', 'lives', 'vacuole', 'ribosome']","['Orange', 'Latte', 'Patch', 'Patch']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Horse', 'donkey', 'Bike', 'bicycle']","['Lager', 'Ale', 'yellowish', 'Alcohol', 'kolsch', 'hefeweizen']","['Embalmed', 'Daddy', 'ramses', 'maternal', 'Corpse', 'Curse']","['Nocturnal', 'Bird', 'luck', 'wise', 'hoot', 'Hoot']","['Bateau', 'Taon', 'ts\\u00e9-ts\\u00e9', 'insecte', 'sale', 'Ts\\u00e9ts\\u00e9']","['Hazy', 'Clear', 'Stormy', 'cloudy', 'Blue', 'blue']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Barbie', 'ken', 'Bratz', 'bratz']","['tooth', 'doctor', 'teeth', 'teeth']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Scoop', 'Ware', 'Dig', 'Spade', 'Spade', 'Spade']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Sand', 'Eagle', 'gobi', 'Mirage', 'Biome']","['Julius', 'Princeton', 'Trump', 'Jumpsuit', 'Creamsicle', 'Breakfast']","['Chairlift', 'Piste', 'Alps', 'Slalom']","['feather', 'Bolster', 'case', 'case']","['Sharkboy', 'magma', 'aa', 'hot']","['Damien', 'Chanson', 'Blanc', 'Marteau', 'dents', 'mer']","['Sommeil', 'Imagination', 'D\\u00e9sir', 'id\\u00e9al', 'Cauchemar', 'Nuit']","['Hut', ""Domino's"", 'Hawaiian', 'Pepperoni', 'Pepperoni', 'Pepperoni']","['Titus', 'Alabama', 'Ganesh', 'Ivory', 'Dumbo', 'Dumbo']","['apiculteur', 'produit', 'pops', 'ruche', 'pot', 'acacia']","['Granite', 'Geodude', 'bullwinkle', 'Alcatraz', 'Music']","['Frying', 'Sauce', 'Tinkerbell', 'Wok', 'teflon', 'Skillet']","['Grundfos', 'Xylem', '...it', 'Louder']"
Mystery Word,Paradise,Sofa,Galaxie,Sausage,Butcher,Queen,Mermaid,Dinosaurier,Nabel,Ticket,Guillotine,Car,Chocolate,Pyramid,Turbine,Magnet,Peach,Bed,G\u00e9ant,Alcohol,Cam\u00e9ra,Statue,Window,Paradise,Metro,Palm,Hat,Branch,Trou,Sword,Mustard,Cell,Pumpkin,Nombril,Ride,Beer,Mummy,Owl,Mouche,Sky,Ski,Poule,Dinosaur,Doll,Dentist,Rum,Barbecue,Shovel,Kette,Oasis,Arrow,Guillotine,Desert,Orange,Ski,Pillow,Lava,Requin,R\u00eave,Pizza,Elephant,Miel,Rock,Pan,Pump
Guess,Paradise,Couch,Galaxie,hotdog,mannaiaLa,,Mermaid,Dinosaurier,Nabel,Ticket,Guillotine,,chocolate,Pyramid,turbine,Magnet,peach,Bed,Geant,Alcohol,Vid\u00e9o,,Window,,london,Palm,Hat,,trou,Sword,,Cell,Chocolate,Nombril,Mule,Beer,mummy,owl,Mouche,Fog,skate,Poule,Dinosaur,Doll,Dentist,,Kangaroo,Shovel,Kette,,compass,,desert,Orange,Ski,pillow,lava,Requin,R\u00eave,Pizza,elephant,Miel,rock,pan,Pump
