ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79
Table Number,427110000,426930165,426773678,426752793,426726475,426609330,426581828,426584120,426312752,426269130,426224659,426204439,426100952,425836560,425772771,425681475,425550728,425367432,425165350,424963172,424871586,424818463,424794440,424695140,424669522,424657866,424482798,424475694,424325839,424300607,424302996,423976877,423942756,423805963,423806163,423797154,423695736,423674541,423227064,423156122,422862626,422118445,422107292,422090899,422023905,421988915,421989754,421810395,421785061,421702805,421549329,421348499,420992843,420914272,420678564,419646476,418688067,418633062,418252645,417994070,417204012,416390940,416383625,415621306,415379476,415311507,414619799,412907496,411828076,405592455,381777020,358827793,357991900,353362991,350584338,341401520,324381970,320452280,313533300
Move,33,7,8,8,7,13,14,26,24,21,32,29,18,9,36,65,79,26,46,48,45,63,55,56,48,40,45,49,37,46,70,65,111,57,43,19,83,45,55,58,64,61,10,32,41,43,30,10,56,58,21,36,45,10,56,57,8,36,7,118,80,49,86,47,19,107,18,11,91,763,457,1216,274,1000,2199,1757,1354,1998,2521
Clues,"['erholung', 'Freizeit', 'verreisen', 'Reisen']","['Fire', 'Flare', 'Human', 'Torch', 'Olympic', 'burning']","['Ombrelle', 'protection', 'Averses', 'P\\u00e9broque', 'cherbourg']","['Holle', 'Kissen', 'Schlafzeug', 'Warm', 'Plumeau']","['Uppercase', 'Alphabet', 'Correspondence', 'Correspondence']","['schoeisel', 'oncomfortabel', 'grundfos', 'wilo', 'Up', 'Volume']","['yeti', '\\u00dcbergro\\u00df', 'H\\u00fcne', 'R\\u00fcbezahl', 'Gigant', 'Turtur']","['Filmgenre', 'lustig', 'Theater', 'Humor']","['Hallmark', 'Shark', 'paper', 'fold', 'Credit']","['dough', 'Crumble', 'Biscuit', 'biscuit']","['Artemis', 'Gun', 'Bow', 'Deer', 'bow', 'deer']","['Punition', 'Canard', 'Canard', 'canard', 'Punition', 'Canard']","['Harvest', 'Vehicle', 'Pulling', 'Machine', 'Deere', 'deere']","['Filmfigur', 'Bund', 'Anf\\u00fchrer', 'Gladiator', 'Sklavenaufstand', 'Thrakier']","['white', 'tasting', 'Zinfandel', 'Malbec', 'Gerwurztraminer', 'Napa']","['Maghreb', 'Merguez', 'Semoule', 'semoule']","['\\u0440\\u044b\\u0436\\u0430\\u044f', '\\u0438\\u0437\\u0414\\u0438\\u0441\\u043d\\u0435\\u044f', '\\u0420\\u0443\\u0441\\u0441\\u043a\\u0438\\u0439', '\\u0410\\u043b\\u044e\\u043c\\u0438\\u043d\\u0438\\u0439', '\\u0425\\u0432\\u043e\\u0441\\u0442\\u043e\\u043d\\u043e\\u0433\\u0430\\u044f', '\\u0420\\u044b\\u0431\\u0430\\u0431\\u0430\\u0431\\u0430']","['Falter', 'Schwalbenschwanz', 'flatter', 'schlabber']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Foos', 'Ping-pong', 'chain', 'Tennis', 'foot', 'bouncy']","['Tokio', 'comicbook', 'drawing', 'naruto', 'ONEPIECE', 'japan']","['Mary', 'sheep', 'newborn', 'veal', 'Chop', 'Chop']","['Cowbell', 'Dengue', 'Cabin', 'Symptom', 'Jungle', 'Flu']","['Betriebssystemhersteller', 'XP', 'Betriebssystem', 'Gates', 'office', 'Windows']","['Kraxeln', 'Messner', 'Efeu', 'sicherungsseil', 'bouldern', 'Bouldern']","['Molkereiprodukt', 'nachreifend', 'Frankreich', 'Milchprodukt', 'Normandie', 'Brie']","['Lica', 'Hevey', 'Aiment\\u00e9', 'Aluminium', 'Fer', 'Fer']","['john', 'wayne', 'Union', 'Beef', 'Spaghetti', 'Civilization']","['mole', 'worm', 'Hobbit', 'dug', 'Donut', 'Donut']","['Oil', 'flavorful', 'mushroom', 'Funghi', 'Pig', 'Pig']","['Smee', 'Sinker', 'Crane', 'Lanyard', 'uppercut', 'punch']","['Turkey', 'Setter', 'Green', 'pins', 'Spare', 'spare']","['Storming', 'muscle', 'Cerebellum', 'Frankenstein', 'Pinky', 'Zombie']","['Tractor', 'Caboose', 'Movie', 'follower', 'Bike']","['Naenae', 'dominatrix', 'slap', 'Lash', 'horse', 'Horse']","['music', 'genre', 'School', 'of', 'paper', 'scissors']","['Pitagore', 'Scal\\u00e8ne', 'Amoureux', 'G\\u00e9om\\u00e9trique', 'Carr\\u00e9', 'Trap\\u00e8ze']","['Ruler', 'Royalty', 'charles', 'queen', 'male', 'monarch']","['Malt', 'Blonde', 'Leffe', 'Page24']","['lactose', '1%', 'Cow', 'mammals', 'White', 'white']","['Crab', 'nut', 'Oil', 'clam', 'oyster', 'tortoise']","['Gregorian', 'Advent', 'Girls', 'Months', 'Paper', 'Timepiece']","['Quest', 'Spiral', 'Andromeda', 'Hoag']","['poo', 'cow', 'waste', 'fertilizer', 'Beetle', 'Crap']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Baaaa', 'Shear', 'Lamb', 'Wool', 'Lamb', 'Wool']","['Emplacement', 'Caveau', 'Tombes', 'Tombes']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['M\\u00e4dchen', '\\u00dcbergangsstadium', 'Chucky-Die-M\\u00f6rder...', 'Barbie...']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Fencing', 'Sabre', 'katana', 'samurai', 'Knight', 'Weapon']","['Dark', 'Bulb', 'Switches', 'Candle']","['Airtight', 'Top', 'Container', 'Eye']","['tooth', 'doctor', 'teeth', 'teeth']","['Kitana', 'Sabre', 'rapier', 'scimitar', 'Big', 'Knife']","['Dugong', 'Siren', 'Fictional', 'Ariel']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Travelling', 'Time', 'summer', 'holiday', 'Getaway', 'Fiji']","['Australia', 'aussie', 'Grill', 'Grill']","['Starks', 'solstice', 'Snow', 'Season', 'skiing', 'Cold']","['tooth', 'doctor', 'Braces', 'Orthodontist', ""Teeth's"", 'Healer']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['knight', 'Gravedigger', 'Scoop', 'digging', 'Spade', 'Spade']","['punch', 'Puppet', 'Compression', 'ankle', 'darn', 'fuzzy']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['Mummy', 'Drama']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Freefall', 'Ripcord', 'Pants', 'skydiving']","['Category', 'X', 'Lethal', 'Scimitar', 'Slayer', 'TNT']","['Tribune', 'Daily', 'Chronicle', 'Chronical']","['de-pan', 'a-becs', 'Pain', '350g']","['Mines', 'Gimli', 'Dopey', 'Tyrion', 'Short', 'Beards']","['coriander', 'scary', 'Posh', 'salt']","['Dijon', 'Mayonnaise', 'Sauce', 'Sauce']","['Air', 'Paper', 'Flood', 'Prairie', 'Level', 'Surface']","['Du', 'Tronc', 'Dutronc', 'succulente', 'aie', 'ouie']","['Beaujolais', 'bordeaux', 'Santerre', 'Pinot', 'Piasse']","['award', 'winner', 'bronze', 'Olympic', 'Bronze', 'Olympic']"
Mystery Word,Vacation,Flame,Parapluie,Bettdecke,Letter,Pump,Riese,Kom\u00f6die,Card,Cookie,Hunter,Coin,Tractor,Spartacus,Wine,Couscous,Mermaid,Schmetterling,Nombril,Ball,Manga,Lamb,Fever,Microsoft,Klettern,Camembert,M\u00e9tal,Western,Hole,Truffle,Hook,Bowling,Brain,Trailer,Whip,Rock,Triangle,King,Bi\u00e8re,Milk,Shell,Calendar,Galaxy,Dung,Ski,Sheep,Cimeti\u00e8re,Poule,Puppe,Dinosaur,Sword,Light,Lid,Dentist,Sword,Mermaid,Rum,Vacation,Barbecue,Winter,Dentist,Kette,Shovel,Sock,Oasis,Baggage,Arrow,Guillotine,Parachute,Weapon,Newspaper,Fl\u00fbte,Dwarf,Spice,Moutarde,Plane,Cactus,Vin,Medal
Guess,Ferien,Flame,Parapluie,Daunen,Capital,Pumps,Riese,Kom\u00f6die,card,cookie,Bow,,Tractor,Spartacus,wine,Couscous,mermaid,Schmetterling,Nombril,Ball,Manga,lamb,Fever,Microsoft,klettern,K\u00e4se,m\u00e9tal,Western,Tunnel,Truffle,Hook,Irish,Brain,Trailer,whip,Rock,triangle,King,Bi\u00e8re,milk,,Calendar,galaxy,Dung,skate,sheep,tombe,Poule,Puppe,Dinosaur,sword,Light,lid,Dentist,Katana,Mermaid,,Vacation,Kangaroo,Winter,Dentist,Kette,shovel,sock,,Death,compass,,parachute,Weapon,Newspaper,Flute,DWARF,spice,Moutarde,Plane,Jacques,Vin,trophy
