ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68
Table Number,429452838,429314903,429208776,429082965,429086865,428920545,428772845,428554869,428551331,428421255,428314302,428266021,427921682,427804596,427752643,427716050,427675008,427662281,427631823,427417750,427391092,427019039,426855385,426726475,426382662,426288467,425852173,425815125,425606297,425165350,425082962,425047724,424914928,424871586,424829121,424818411,424501269,423771261,423532573,422862626,422090899,422023905,421989754,421816177,421810395,421702805,421348499,420914272,419846121,418688067,418252645,418088593,417255169,416390940,415379476,414619799,412907496,405054016,402108912,396307534,393621459,381826421,381777020,356959263,349338828,336562502,330741642,319065151
Move,6,54,9,9,9,18,16,69,44,24,27,13,31,9,84,93,16,24,30,18,46,19,50,51,79,89,46,5,67,47,101,54,27,112,99,75,73,159,98,100,45,41,46,74,10,58,46,10,45,8,7,74,178,49,19,18,11,567,422,211,553,413,515,926,3062,1154,1754,232
Clues,"['Darstellung', 'Ohnesorg', 'Souffleuse', 'Ebstein', 'Schauspiel', 'Schauspielerei']","['fiorentina', 'mannaia', 'venditore', 'carne']","['box', 'Wrench', 'Screwdriver', 'Hammer', 'Lateralus', 'Useful']","['sac', 'main', 'anse', 'Osier', 'Osier', 'osier']","['amazon', 'bristol', 'Demenagement', 'D\\u00e9m\\u00e9nagement', 'D\\u00e9m\\u00e9nagement', 'd\\u00e9m\\u00e9nagement']","['Flickzeug', 'Platten', 'fahrradreifen', 'gartenbew\\u00e4sserung', 'Bew\\u00e4sserung', 'Garten']","['cuisine', 'Phil-collins', 'Percussion', 'Energie', 'Charge']","['terminate', 'Near', 'Finish', 'Finale', 'dead', 'Dead']","['Tugboat', 'Steam', 'Yacht', 'Titanic', 'Cruise']","['Love', 'Abc', 'Character', 'Alphabet', 'Alphabet']","['Rice', 'extra', 'african', 'Steamed', 'Pearl', 'pearl']","['Gilroy', 'Aromatic', 'breath', 'wild', 'Allium', 'Vampire']","['Maze', 'Minotaur', 'Movie', 'Bowie']","['pink', ""luxemburg's"", 'Red', 'lover', 'Jack', 'Fragrant']","['Mittelschiene', 'Hei\\u00df', 'Pellets', 'Tongef\\u00e4\\u00df', 'warm', 'W\\u00e4rmequelle']","['Songtitel', 'Warnleuchte', 'Wegweiser', 'K\\u00fcste', 'Orientierungshilfe', 'Navigationshilfe']","['Fleuraison', 'Mai', 'Saison', 'Bourgeons']","['Cerb\\u00e8re', 'Pierre', 'but', 'paix', 'prison', 'galaxy']","['Summer', 'tan', 'Bright', 'Moon', 'superman', 'rays']","['earth', 'wind', 'Smoke', 'Burn', 'gas', 'cooking']","['fragola', 'Beatles', 'infruttescenza', 'Panna', 'Gelato', 'fieldsforever']","['song', 'Leuchtturm', 'Pops\\u00e4ngerin', 'Pops\\u00e4ngerin']","['correct', 'inalienable', 'Handed', 'Privilege']","['Pitaya', 'Desert', 'Prickly', 'Prickly']","['Nuclear', 'explode', 'atomic', 'Nitroglycerin']","['Letter', 'lick', 'Stamp', 'mail', 'Postage']","['Wasserfrucht', 'Kopfbedeckung', 'Pantau', 'Rund', 'Hut', 'Filzhut']","['Rungs', 'Firefighter', 'Height', 'Steps']","['Safety', 'Bascinet', 'Cranium', 'Noggin', 'Protection', 'Protection']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Chick', 'babies', 'home', 'Eggs', 'Home', 'eggs']","['blow', 'nose', 'Kleenex', 'Sniffle', 'deep', 'massage']","['Tchibo', 'Baristabar', 'Lavazza', 'M\\u00fchle', 'Wachmacher', 'Java']","['Sea', 'Miami', 'porpoise', 'tuna', 'sEAdOG', 'mammal']","['Achondroplasia', 'elf', 'Midget', 'Planet', 'Happy', 'sneezy']","['My', 'Shetland', 'Iceland', 'Donkey', 'Galloway']","['Elementry', 'bell', 'MIT', 'kindergarten', 'teacher', 'classroom']","['Internet', 'Browser', 'Mittermeier', 'Park', 'Hy\\u00e4ne']","['plex', 'Rack', 'Centos', 'waiter', 'Waiter']","['age', 'Happy', 'yearly', 'celebrate', 'Party', 'party']","['Hazy', 'Clear', 'Stormy', 'cloudy', 'Blue', 'blue']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['camping', 'tract\\u00e9e', 'Forain', 'Vacances']","['Udder', 'Shake', 'uht', 'coconut', 'cow', 'white']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['equestrian', 'NASCAR', 'Running', 'Ethnicity']","['tooth', 'doctor', 'teeth', 'teeth']","['Friedensbotschafter', 'Person', 'Indien', 'Befreiung', 'Tibet', 'Friedensnobelpreis']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Flock', 'quill', 'quill', 'down', 'down']","['Break', 'breeze', 'crank', 'Turbine', 'Blow', 'Blowy']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Hare', 'terrapin', 'Shell', 'Shell']","['wisdom', 'Oyster', 'Harbor', 'Krabs', 'Junes', 'Necklace']","['drunks', 'alcohol', 'Drinks', 'Tender', 'Cheers', 'Legal']","['soap', 'Garnier', 'Tenor', 'Diva', 'tion']","['bramley', 'Crumble', 'doctor', 'pie']","['China', 'Giant', 'Anchorman', 'Express']","['Petrichor', 'Pets', 'Precipitation', 'Umbrella', 'downpour', 'Purple']","['Venom', 'Hemlock', 'Arsenic', 'Rat', 'Funnel-web']","['Duvet', 'T\\u00eate', 'Lit', 'Coussin', 'lit', 'coussin']","['Piquant', 'Dents', 'Ustensile', 'Ustensil']","['Grundfos', 'Xylem', '...it', 'Louder']"
Mystery Word,Theater,Butcher,Tool,Panier,Carton,Schlauch,Batterie,End,Ship,Letter,Couscous,Garlic,Labyrinth,Rose,Ofen,Leuchtturm,Printemps,Gardien,Sun,Fire,Strawberry,Nena,Right,Cactus,Bomb,Envelope,Melone,Ladder,Helmet,Nombril,Nest,Tissue,Kaffee,Dolphin,Dwarf,Pony,School,Safari,Server,Birthday,Sky,Ski,Caravane,Milk,Poule,Dinosaur,Race,Dentist,Gandhi,Rum,Barbecue,Feather,Wind,Kette,Oasis,Arrow,Guillotine,Tortoise,Pearl,Bar,Op\u00e9ra,Apple,Panda,Rain,Poison,Oreiller,Fourchette,Pump
Guess,Theater,mannaiaLa,tool,Panier,Carton,Schlauch,batterie,end,Boat,Hug,Couscous,Garlic,Labyrinth,Rose,Ofen,,Printemps,gardien,Sun,Fire,Strawberry,Signal,right,Cactus,Bomb,,Melone,ladder,Helmet,Nombril,,Cold,Kaffee,dolphin,dwarf,Pony,school,Idiot,NFI,Birthday,Fog,skate,caravane,milk,Poule,Dinosaur,Race,Dentist,Ghandi,,Kangaroo,bird,Wind,Kette,,compass,,Fable,pearl,bar,op\u00e9ra,Apple,Panda,Rain,Poison,Oreiller,Canine,Pump
