ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77
Table Number,430928604,430750350,430480985,430408048,430304801,430047910,429909090,429851717,429848375,429735529,429726272,429713771,429464662,429397094,429349053,429314903,429271612,429213142,429166635,428958502,428773382,428640755,428266021,428048991,427982483,427900593,427705683,427686038,427662281,427550737,427407235,427345270,427332531,427330601,427169076,427019039,426998428,426995116,426835619,426726475,426726061,426305632,426150558,426117805,426005488,425956148,425326888,425265204,425165350,425132870,424724488,424325839,423448949,422633794,422023905,421989754,421810395,421702805,421348499,421202126,420914272,418688067,418252645,416390940,415379476,414619799,412907496,381777020,363390977,357001162,348838927,346689693,343894377,341401520,322628136,313533300,312175859
Move,9,6,9,8,65,20,9,22,35,21,6,9,25,20,49,55,10,27,36,13,55,47,25,65,35,45,28,82,48,31,46,82,75,57,35,34,91,31,67,65,113,65,40,63,84,92,62,72,47,81,81,65,37,79,41,51,10,58,57,40,10,8,7,49,19,18,11,543,868,1541,1248,1381,1642,1861,3449,2624,1626
Clues,"['Livestock', 'Plowing', 'Deere', 'Farm', 'Farm', 'Farm']","['Red', 'Solo', 'sippee', 'tin', 'measuring', 'measuring']","['Altocumulus', 'cumulonimbus', 'Cirrus', 'ciel', 'cumulus', 'Cumuloninbus']","['holiday', 'Griswalds', 'Cancun', 'Cruise', 'beach']","['bars', 'Slammer', 'Unlawful', 'Alcatraz', 'Shawshank', 'Guard']","['Fudge', 'Dark', 'Godiva', 'Ferrero', 'Cacao', 'Rich']","['colony', 'scepter', 'tiara', 'Head', 'Thorns', 'diadem']","['needles', 'prick', 'Spikey', 'spiky']","['Mastermind', 'Iq', 'Clever', 'clever']","['Monarch', 'Kong', 'Crown', 'Crown']","['Nail', 'Pin', 'Tool', 'Hit', 'framing', 'finishing']","['Miami', 'Bum', 'Palm', 'Swim', 'Sand', 'Playa']","['Cumulonimbus', 'Fleecy', 'flying', 'steam', 'Final', 'Fantasy']","['Maille', 'Cachemire', 'Pelote', 'Chaud']","['Infernal', 'Phare', 'Circonf\\u00e9rence', 'Pise', 'Montparnasse', 'Montparnasse']","['fiorentina', 'mannaia', 'venditore', 'carne']","[""McDonald's"", 'Mascot', 'Bozo', 'Circus']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['rule', 'punch', 'Chorus', 'Straight', 'Straight', 'Straight']","['files', 'murder', 'closet', 'suit', 'brief', 'brief']","['mythical', 'Horse', 'Rainbow', 'Mustang', 'Fantastical', 'equine']","['Carniv\\u00e0le', 'Conceal', 'Carrey', 'Ski', 'covid', 'Smokin']","['Illuminate', 'Feather', 'on', 'off', ""R'hllor"", 'dark']","['bardot', 'Prog\\u00e9niture', 'Berceau', 'F\\u00e9condation', 'Natalit\\u00e9']","['Cookie', 'c\\u00e9ramique', 'Sec', 'Sec']","['classroom', 'Elementary', 'student', 'kindergarten', 'Teacher', 'Teacher']","['huge', 'boat', 'frigate', 'vessel']","['Standup', 'Jokes', 'Slapstick', 'RV', 'Foxworthy', 'Tragedy']","['Objet', 'Frigo', 'Magn\\u00e9tisme', 'Attraction', 'champ', '\\u00e9lectromagn\\u00e9tique']","['Flesh', 'Chopper', 'Pig', 'Sticker', 'Pudge', 'DoTA']","['Hallucinate', 'makemariobig', 'Shrooms', 'Pizzatopping']","['manilla', 'Letter', 'mail', 'Stamp', 'Stamp']","['Champagne', 'Slim', 'Cisaille', 'Inciser', 'Cheveu', 'Graal']","['Seiche', 'Ventouses', 'Octopus', 'Encre']","['Snowy', 'Weather', 'Snow', 'Shovel']","['B\\u00fcgel', 'Kontaktlinsen', 'Gl\\u00e4ser', 'Gl\\u00e4ser']","['Boule', 'Cochonnet', 'cochonnet']","['Warnfarbe', 'Cyanmagenta', 'Pac-Man', 'Pikatchu']","['sailor', 'prison', 'Memories', 'Ted', 'Temporary', 'Drawing']","['Conifer', 'Evergreen', 'Needles', 'Needles']","['Briques', 'Gasiniere', 'dinde', 'Calzone', 'Cuisine', 'cuisine']","['Pounder', 'months', '25', 'basketball', 'fourth', 'fourth']","['Product', 'pen', 'Squish', 'Hair', 'Hair']","['Tochigi', 'fruit', 'Kaylee', 'Shortcake', 'Field', 'blonde']","['asteroides', 'R\\u00e9gime', 'serrer', 'chastet\\u00e9', 'Taille', 'Bretelles']","['Enfoir\\u00e9', 'Insulte', 'Lisier', 'excr\\u00e9ments', 'Engrais', 'Ordure']","['Shower', 'Sticky', 'Hair', 'Insole', 'Translucent', 'paste']","['Celebratory', 'brut', 'France', 'bubbly', 'January', 'Donperignon']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['spring', 'Solstice', 'Spice', 'Vivaldi', 'four', 'four']","['Kwa\\u00ef', 'Elorn', 'passereau', 'Pourpre', 'diamants', 'Diamants']","['coming', 'february', 'Frosty', 'Stark', 'Snow', 'Icy']","['Tylenol', 'prescription', 'antibiotics', 'Robitussin', 'pill', 'pills']","['Hanging', 'variety', 'Ranunculus', 'Weeds', 'Longwood', 'Bonair']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Tentacules', 'Calamars', 'Poulpe', 'Ventouses']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Wet', 'Bow', 'Clouds', 'Pouring']","['cigarettes', 'Storage', 'Cigs', 'Milk', 'Box']","['tooth', 'doctor', 'teeth', 'teeth']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Mint', 'Jack', 'Pimiento', 'Ground']","['Haystack', 'Thread', 'Prick', 'Hypodermic', 'knitting']","['Gordon', 'Ramsay', 'Kitchen', 'Boss', 'Main', 'Cook']","['\\u00c9l\\u00e9phant', 'Secret', 'Interdiction', 'Ivoire', 'Nanterre', 'Arche']","['cinqui\\u00e8me', 'dan', 'orion', 'securit\\u00e9']","['Raisin', 'Wine', 'Vineyard', 'Fruit']","['Ship', 'Bluebeard', 'Ahoy', 'BitTorrent', 'Blackbeard', 'Blackbeard']","['treehouse', 'Egg', 'Tree', 'Twigs', 'thermostat']","['fable', 'slow', 'OOOOLD', 'hare', 'Hare', 'hare']","['Grajek', 'Ba\\u015b\\u0144', 'Ta', 'Tuj']"
Mystery Word,Tractor,Cup,Nuage,Vacation,Prison,Chocolate,Crown,Cactus,Genius,King,Hammer,Beach,Cloud,Laine,Tour,Butcher,Clown,Rock,Line,Case,Unicorn,Mask,Light,B\u00e9b\u00e9,Biscuit,School,Ship,Comedy,Aimant,Butcher,Mushroom,Envelope,Coupe,Pieuvre,Winter,Brille,P\u00e9tanque,Gelb,Tattoo,Pine,Four,Quarter,Gel,Strawberry,Ceinture,Fumier,Gel,Champagne,Nombril,Season,Rivi\u00e8re,Winter,Medicine,Garden,Ski,Pieuvre,Poule,Dinosaur,Rain,Carton,Dentist,Rum,Barbecue,Kette,Oasis,Arrow,Guillotine,Pepper,Needle,Chef,D\u00e9fense,Ceinture,Grape,Pirate,Nest,Tortoise,Rat
Guess,Horse,Cup,Nuage,vacation,jail,Chocolate,crown,syringe,genius,King,hammer,Beach,Cloud,Laine,Tour,mannaiaLa,Clown,Rock,,,unicorn,Mask,light,Descendance,G\u00e2teau,School,Ship,comedy,Aimant,pork,Mushroom,Envelope,Coupe,Pieuvre,Blizzard,Brille,,Gelb,sketch,Pine,Four,quater,Fidget,Strawberry,ceinture,porc,shampoo,champagne,Nombril,onion,Rouge,Winter,Medication,Garden,skate,Pieuvre,Poule,Dinosaur,rain,Carton,Dentist,,Kangaroo,Kette,,compass,,Pepper,Needle,Chef,D\u00e9fense,Ceinture,Grape,Pirate,nest,Tortoise,Bard
