ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81
Table Number,434286256,434279515,434228006,434160497,434067464,433973724,433807065,433659037,433640035,433634748,433549287,433342815,433276399,433177229,433155540,432974132,432942114,432865949,432674945,432648572,432552634,432528434,432510191,432470734,432458834,432363171,432352479,432275244,431938804,431890304,431875780,431585930,431522727,431503131,431354019,431356594,430983901,430928604,430833953,430750350,430571833,430474569,430322994,429735529,429726886,429716161,429379635,429314903,429277775,429213142,429037157,428993727,428537577,428266021,427975626,427724491,427550737,426998428,425540722,425265204,425175907,425165350,423771261,422619886,422023905,421702805,421202126,420914272,420552674,414619799,411382679,405054016,401556682,393453511,350584338,348302073,337346134,324806575,324381970,323499397,319065151
Move,11,12,11,9,49,9,19,12,12,9,37,6,6,42,28,19,15,20,31,8,36,18,63,48,45,67,40,64,51,32,76,46,24,63,84,8,26,67,25,19,64,74,83,66,16,32,100,55,75,28,45,99,93,49,60,52,50,91,112,109,65,47,340,190,41,58,48,10,137,18,414,706,84,607,2404,1871,2980,1398,1403,3810,262
Clues,"['Imaginative', 'Slumber', 'REM', 'Nightmare']","['Insect', 'Trash', 'unsanitary', 'antennae', 'Nuclear', 'Bug']","['figaro', 'Couple', 'Certificate', 'Faithful', 'partner', 'bond']","['Outlaws', 'Gunsmoke', 'Legend', 'Spaghetti', 'spaghetti', 'spaghetti']","['Florida', 'Volunteers', 'Color', 'Color']","['Hannibal', 'B\\u00e9b\\u00e9', 'Doux', 'pascal', 'brebis', 'Brebis']","['babar', 'huge', 'Dumbo', 'Trunk', 'Gray', 'Circus']","['\\u305e\\u3046\\u3052', '\\u30b8\\u30fc\\u30d7', 'Apple', '\\u30d6\\u30e9\\u30a6\\u30b6', '\\u3057\\u3093\\u304d\\u308d\\u3046', '\\u3089\\u304f\\u3060']","['Jana', 'Krause', 'magic', 'spectators', 'TV', 'Room']","['bathe', 'Cleansing', 'sprinkle', 'Curtain', 'Bridal', 'loofah']","['Treat', 'sweets', 'Halloween', 'halloween']","['Hot', 'Liquid', 'suds', 'laundry', 'antibacterial', 'detergent']","['Monokini', 'Speedo', 'Trunk', 'Water', 'pool', 'attire']","['Checked', 'handler', 'Carry-on', 'Heavy']","['Ankylosaure', 'Triceratops', 'm\\u00e9t\\u00e9orite', 'Denver', 'Denver', 'Denver']","['Southwestern', 'Liberty', 'chime', 'carillon', 'Alexander', 'Alexander']","['Juice', 'Tangerine', 'Color', 'Color']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Sturgeon', 'Spheres', 'salted', 'roe', 'Luxury', 'Eggs']","['Milkshake', 'Smoothie', 'Shortcake', 'Shortcake', 'Shortcake']","['soap', 'Gum', 'Squeak', 'Iridescent', 'popped', 'tea']","['Macabre', 'Slapstick', 'Standup', 'J', 'hilarious', 'club']","['Condiment', 'Dijonn', 'Colonel', 'Piquante']","['Breakfast', 'Dinner', 'Three', 'Serving']","['salade', 'Fonte', 'PINGOUIN', '\\u00e9merg\\u00e9e']","['Druif', 'Alcohol', 'Tuscany', 'Druivensap', 'Kurk']","['Dojo', 'kata', 'Martial', 'kid', 'kid']","['nucleus', 'Jail', 'membrane', 'Nokia', 'photosynthesis', '%']","['transylvania', 'Dormir', 'California', 'R\\u00e9servation']","['Mercurio', 'dancing', 'Strictly', 'strictly']","['floribunda', 'Thorn', 'Fragrant', 'juliet', 'Dozen', 'hips']","['Hook', 'Bird', 'heron', 'Construction', 'machinery', 'hoist']","['Queue', 'Fourchue', 'Demon', 'Cornu', 'Prada', 'Chariot']","['detergent', 'Palmolive', 'saponification', 'Sud', 'Wash', 'wash']","['Rapidash', 'Friendship', 'Dog', 'Equestrian', 'Little']","['Chill', 'relax', 'Bloody', 'rest']","['Stern', 'Film', 'Filmproduktion', 'Fame']","['Vixen', 'Tod', 'Fantastic', 'Fantastic', 'Sly', 'Sly']","['drone', 'comb', 'Keeper', 'Sting', 'Hornet', 'Yellowjacket']","['Knight', 'grandmaster', 'pieces', 'Bishop', 'Pawn', 'Pawn']","['Big', 'Fan', 'Jet', 'Propeller', 'Wind', 'Wind']","['Laboratory', 'Hip', 'Erlenmeyer', 'container', 'Hydro']","['cumulus', 'Tete', 'Arcus', 'ciel', 'Pluie', 'Lait']","['Rolling', 'Rollingstonegathersno', 'Moist', 'Green']","['Crackers', 'Dumbo', 'Trapeze', 'Elephant', 'Tightrope']","['fruit', 'cobbler', 'Pitted', 'Georgia', 'Georgia']","['Present', 'Month', 'Pearl', 'Christmas', 'Twelfth', 'twelfth']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Hoard', 'Pirate', 'Xspot', 'Map', 'Booty', 'haul']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['card', 'playmat', 'of', 'Directors']","['Menorah', 'light', 'wick', 'Wax', 'Blowing', 'stick']","['Pronouncing', 'Colors', 'hyundai', 'lilt', 'Region', 'Region']","['Lost', 'Coldplay', 'gated', 'city', 'Eden', 'Nirvana']","['chateau', 'Ch\\u00e2teaux', 'hant\\u00e9', 'Hant\\u00e9']","['Ration', 'Coupon', 'tramp', 'mail', 'rubber', 'seal']","['Coconut', 'Tree', 'plant', 'Exeggutor', 'psychic', 'reading']","['Boule', 'Cochonnet', 'cochonnet']","['Suceur', 'chikungunya', 'culicid\\u00e9', 'Tigre', 'Malaria', 'piqure']","['Headwear', 'charles', 'defender', 'diadem', 'King', 'king']","['Oisillon', 'Brindille', 'Abeille', 'cocon', 'Cocon']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['kanne', 'Latte', 'Bohne', 'Plantage', 'wachwerden']","['Gary', 'Meow', 'Slug', 'Escargot']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['None', 'Cliff', 'Space', 'Graph', 'Graph']","['tooth', 'doctor', 'teeth', 'teeth']","['agrabah', ""cesar's"", 'Buckingham', 'Taj', 'Mahal', 'TajMajal']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Plunder', 'buried', 'National', 'Booty', 'booty']","['choice', 'twig', 'split', 'stick']","['jessica', 'stew', 'Bunny', 'Cottontail', 'Roger']","['Brine', 'Marine', 'Can', 'Piano', 'Piano']","['Ustensile', 'Cirque', 'Sadomaso', 'Lani\\u00e8re']","['Pain', 'Cumin', 'Condiment', 'curry', 'Curcuma', 'curcuma']","['Dimension', 'Air', 'flying', 'flatten', 'Sept11']","['Marathon', 'Chugga', 'Amtrak', 'Steam', 'Caboose', 'Caboose']","['Hit', 'Aire', 'Crise', 'M\\u00e8re', 'mitose', 'mitochondrie']","['hook', 'fastener', 'Fastening', 'switch', 'Benjamin', 'push']","['skipping', 'stretch', 'knot', 'sails']"
Mystery Word,Dream,Cockroach,Marriage,Western,Orange,Agneau,Elephant,Safari,Show,Shower,Candy,Soap,Swimsuit,Baggage,Dinosaure,Bell,Orange,Lamb,Caviar,Strawberry,Bubble,Comedy,Moutarde,Meal,Iceberg,Wine,Karate,Cell,H\u00f4tel,Ballroom,Rose,Crane,Diable,Soap,Pony,Sunday,Hollywood,Fox,Bee,Chess,Turbine,Flask,Nuage,Moss,Circus,Peach,December,Butcher,Treasure,Rock,Board,Candle,Accent,Paradise,Fant\u00f4me,Stamp,Palm,P\u00e9tanque,Moustique,Crown,Nid,Nombril,Kaffee,Snail,Ski,Dinosaur,Bar,Dentist,Palace,Arrow,Treasure,Branch,Rabbit,Tuna,Fouet,\u00c9pice,Plane,Train,Cellule,Button,Rope
Guess,Dream,Cockroach,marriage,,Alligator,Frere,Elephant,safari,Show,Shower,Candy,Soap,Swimsuit,Bag,Dinosaure,,orange,,caviar,Beverage,,comedy,moutarde,Course,iceberg,Wijn,Karate,cell,H\u00f4tel,Metal,rose,crane,Diable,Soap,Pony,igiveup,Hollywood,Chase,pilot,Chess,blade,Bottle,nuage,,Circus,Cherry,,mannaiaLa,Treasure,Rock,Board,candle,accent,music,sable,Stamp,Palm,,Moustique,crown,Nid,Nombril,Kaffee,snail,skate,Dinosaur,Void,Dentist,palace,compass,Treasure,Branch,Rabbit,,Fouet,,Plane,Train,cellule,Button,Rope
