ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69
Table Number,423562611,423228212,423216694,423101107,423057840,422947871,422912950,422750949,422721709,422403936,422372568,422342689,422234696,422170940,422151576,422150104,422141156,422121672,422117089,422118445,422108223,422030461,422019795,421981250,421810395,421472241,421448482,421380668,421389015,421366153,421226618,421202194,420992843,420914272,420472963,420414171,420385307,420244691,420044704,419646476,418688067,418687072,418252645,417519592,417293768,417280097,416734430,416390940,416385735,416383625,415744082,415379476,415154373,412907496,412823159,411179061,402108912,358827793,357001162,356959263,353362991,349338828,348838927,338553253,337138645,331907183,328236739,324381970,312175859
Move,9,21,26,5,6,6,45,18,26,20,36,18,39,44,16,19,37,7,28,24,9,30,37,22,10,30,54,66,54,48,38,73,25,10,89,90,115,42,67,28,8,86,7,91,73,41,60,49,56,67,37,19,43,11,89,48,357,1145,1442,850,881,2852,1185,1271,744,745,2392,1329,1609
Clues,"['absent', 'Showcase', 'Current', 'Now', 'here', 'Here']","['Flammes', 'Sinistre', 'feu', 'Feu']","['\\u0424\\u0443\\u0442\\u0431\\u043e\\u043b\\u044c\\u043d\\u0430\\u044f', '\\u0411\\u0435\\u0442\\u043e\\u043d\\u043d\\u0430\\u044f', '\\u043a\\u0430\\u0440\\u0442\\u043e\\u043d', '\\u0443\\u043f\\u0430\\u043a\\u043e\\u0432\\u043a\\u0430', '\\u041a\\u0430\\u0440\\u0442\\u043e\\u043d\\u043d\\u0430\\u044f', '\\u0423\\u043f\\u0430\\u043a\\u043e\\u0432\\u043e\\u0447\\u043d\\u0430\\u044f']","['Disc', 'Jokeys', 'Hamm', 'Frequency']","['Hero', 'Extinguish', 'rescue', 'volunteer', 'Truck', 'Axe']","['comet', 'Guardians', 'Andromeda', 'Milkyway', 'universe', 'Universe']","['\\u308c\\u3093\\u3058', '\\u304b\\u3093\\u304d\\u3064', '\\u3066\\u3043\\u3082\\u3093\\u3067\\u3043\\u305f\\u304b\\u304e\\u3057', '\\u307d\\u3093', '\\u30d4\\u30fc\\u30eb', '\\u3060\\u3044\\u3060\\u3044\\u3044\\u308d']","['sugarcane', 'China', 'Zoo', 'forest', 'mammal', 'mammal']","['Litre', ""Reese's"", 'Measuring', 'Bra', '250', 'Tea']","['Atkins', 'Keto', 'Obese', 'Salads', 'vegetarian', 'restricts']","['hive', 'ants', 'Spelling', 'Queen', 'Hornet', 'hornet']","['Malaria', 'Zika', 'Vampire', 'Anopheles', 'blood', 'Blood']","['golf', 'Foot', 'Soccer', 'Sphere', 'Lonzo', 'Lonzo']","['kick', 'Bird', 'Telescopic', 'Lifts']","['amphore', 'fange', 'Bouquet', 'contenant']","['Screen', 'Sill', 'Rear', 'Frame', 'Glass', 'Glass']","['Loud', 'Colt', 'Shot', 'Shot']","['written', '1944', 'Past', 'Past']","['Twigs', ""Crow's"", 'Eggs', 'egg']","['Pandora', 'Clear', 'Jewel', 'Baseball', 'Carbon', 'Carbon']","['beach', 'shore', 'Castle', 'tatooine', 'Dune', 'glitter']","['Set', 'schooner', 'Boat', 'Boat']","['Celebration', 'Battenberg', 'Bundt', 'urinal', 'Cup', 'Piece']","['Getaway', 'Leisure', 'onleave', 'Cruise']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Pandora', 'Wrist', 'armband', 'wristband', 'jewellery', 'Jewellery']","['unterirdisch', 'Gew\\u00f6lbe', 'Untergeschoss', 'Helen', 'Wein', 'Wein']","['instrument', 'Trompette', 'Batterie', 'Musique', 'Fanfare', 'Fanfare']","['Vernal', 'Thermal', 'Easter', 'Cleaning', 'equinox', 'slinky']","['Hobbit', 'Lonely', 'Range', 'Peak', 'Sinai', 'Doom']","['Glass', 'curtain', 'Sil', 'porthole', 'Microsoft', 'Microsoft']","['Sovereign', 'Penguin', 'Groove', 'scepter', 'Ruler', 'Ruler']","['Byron', 'Botany', 'bark', 'cove']","['tooth', 'doctor', 'teeth', 'teeth']","['pin', 'pr\\u00e9l\\u00e8vement', 'Louboutin', 'coudre', 'Coudre']","['incandescent', 'hyacinth', 'root', 'Cfl', 'Tulip', 'Tulip']","['Zieher', 'Weinverschluss', 'Amphore', 'Sektverschluss', 'Eiche', 'Eichenrinde']","['ruler', 'ancient', 'king', 'caliph']","['Article', 'Magazine', 'tribune', 'Printer', 'Column']","['Scrabble', 'this', 'Minecraft', 'Cluedo']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Pest', 'Grey', 'carrier', 'post']","['Australia', 'aussie', 'Grill', 'Grill']","['cockpit', 'Captain', 'Aviator', 'palm', 'B52', 'license']","['Dead', 'Finale', 'the', 'Finish', 'Omega']","['Vogelbeobachter', 'Theorie', 'Evolution', 'Evolution']","['crossroad', 'Turn', 'Connection', 'connection']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['Handwerk', 'Eigent\\u00fcmer', 'Teilchen', 'Morgenstund', 'Fr\\u00fchaufsteher', 'Fr\\u00fch']","['Plantation', 'Nicotine', 'Leaves', 'AmberLeaf', 'chew', 'Cigar']","['Sticky', 'Goop', 'Hair', 'Hair']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['Billard', 'Pistole', 'rund', 'rund']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Guitare', 'Escalade', 'Pendu', 'Pendu', 'Pendu']","['Scales', 'Dinglehopper', 'Ariel', 'Atlantica']","['Indian', 'motion', 'sea', 'Bonnie', 'atlantic', 'Atlantic']","['Gamme', 'Samsung', 'Gardiens', 'Groot']","['Fight', 'for', 'Correct', 'Okay', 'of', 'way']","['toad', 'Spanking-Rod', 'sugar', 'Corso', 'Abel', 'Abel']","['Seasoning', 'himalayan', 'Chloride', 'gamer']","['Gruff', 'Bearded', 'Mountain', 'Baphomet', 'Messi']","['SFR', 'Vigilance', 'couleur', 'M\\u00e9canique', 'M\\u00e9canique', 'couleur']","['gift', ""Pandora's"", 'cardboard', 'Turtle', 'Case', 'Pizza']","['ciemnoczerwona', 'drylowana', 'Czerwona', 'Smak', 'Znienawidzony', 'Owoc']","['Circus', 'Pup', 'Teepee', 'Coleman', 'Camping', 'camping']","['red', 'Greenhouse', 'soup', 'Cherry', 'salad']","['Homme', 'Carnavalet', 'exposition', 'histoire', 'liere', 'orsay']","['Koperta', 'Naklejony', 'Pocztowy', 'Poczt\\u00f3wka']"
Mystery Word,Present,Incendie,Box,Radio,Firefighter,Galaxy,Orange,Panda,Cup,Diet,Bee,Mosquito,Ball,Crane,Vase,Window,Bang,History,Nest,Diamond,Sand,Sail,Cake,Vacation,Poule,Bracelet,Keller,Tambour,Spring,Mountain,Window,Emperor,Bay,Dentist,Aiguille,Bulb,Korken,Pharaoh,Newspaper,Game,Rum,Pigeon,Barbecue,Pilot,End,Darwin,Junction,Kette,B\u00e4cker,Tobacco,Gel,Oasis,Kugel,Guillotine,Corde,Mermaid,Ocean,Galaxie,Right,Cane,Salt,Goat,Orange,Box,Cherry,Tent,Tomato,Mus\u00e9e,Stamp
Guess,present,Incendie,Form,Radio,firefighter,galaxy,orange,Panda,cup,Diet,Bee,Virus,ball,Leg,Vase,window,Gun,,Nest,Box,sand,Sloop,Cake,Vacation,Poule,jewellery,Keller,saxophone,spring,Mountain,window,Monarchy,Bay,Dentist,Rouge,Bulb,Korken,Monarch,Newspaper,Game,,Rat,Kangaroo,Plane,End,,Corner,Kette,B\u00e4cker,Tobacco,Jelly,,Kugel,,Corde,mermaid,,Galaxie,Right,Cane,salt,Goat,Orange,Box,Wi\u015bnia,Tent,tomato,Mus\u00e9e,Znaczek
