ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68
Table Number,424631843,424294232,424185755,423976877,423805963,423806163,423741996,423616458,423429168,423113974,423101107,423057840,422994323,422884582,422403936,422372568,422252705,422175536,422165649,422145117,422141156,422107292,422019795,421988915,421981250,421943208,421810395,421736125,421549389,421470941,421207764,421090546,420958819,420914272,420915251,420382586,420278007,419925536,419646476,418688067,418613655,418488028,418396121,418252645,417954925,417918992,417795075,417631072,417516457,417230388,417204012,416516806,416390940,415379476,415154373,412907496,411179061,409591993,381826421,381777020,359973908,357991900,350584338,348302073,337346134,330741642,328236739,319065151
Move,5,9,9,9,16,13,15,27,20,29,20,18,80,38,32,54,73,69,108,74,48,5,46,37,36,42,10,60,48,51,46,64,48,10,37,100,72,117,42,8,71,28,91,7,56,36,96,107,39,117,74,74,49,19,43,11,48,18,378,394,3059,274,2145,1751,2809,1619,2418,215
Clues,"['Au', 'Minos', 'silver', 'copper']","['crime', 'Play', 'Skit', 'movie', 'Actor', 'Act']","['vis', 'planter', 'charpentier', 'Fakir', 'girofle', 'Girofle']","['Emotional', 'Samsonite', 'Drama', 'Carryon', 'luggage', 'Luggage']","['digger', 'danger', 'Serious', 'Stones', 'Robber']","['Kobe', 'Position', 'protect', 'watch', 'Shooting', 'Point']","['Small', 'Insular', 'Tasmania', 'Madripoor']","['Pi', 'Gelato', 'sweets', 'tiramisu', 'tiramisu', 'Icecream']","['Fungus', 'Mushroom', 'Chocolate', 'Pig', 'Pig', 'Pig']","['\\u30ef\\u30a4\\u306f\\u30b5\\u30eb\\u3084', '\\u30ad\\u30e3\\u30c7\\u30a3', '\\u30d5\\u30a9\\u30eb\\u30af\\u30b9\\u30ef\\u30fc\\u30b2\\u30f3', '\\u305b\\u3063\\u305f\\u3044']","['Circle', 'Finger', ""Sauron's"", 'Desire']","['Charm', 'friendship', 'bead', 'Watch', 'wrist', 'Wrist']","['Diaper', 'cradle', 'blues', 'Placenta']","['Barred', 'Safe', 'Vault', 'immobilize', 'Security', 'Load']","['Putin', 'Nixon', 'Figurehead', 'Old', 'LBJ', 'Truman']","['Fair', 'love', 'Moon', 'Repulsion', 'magnetic', 'Magnetic']","['Turing', 'mechanical', 'Washing', 'terminator', 'Washing', 'Terminator']","['st\\u00e9phanie', 'Diana', 'Jasmine', 'Royaut\\u00e9', 'Conte', 'Ladydi']","['blades', 'Chopper', 'rotor', 'Vehicle', 'Apache', 'Spin']","['Supernana', 'Savon', '0', 'Z\\u00e9ro', 'immobili\\u00e8re', 'Sph\\u00e8re']","['Split', 'fruit', 'Monkey', 'monkey']","['rubbing', 'isopropyl', 'Wine', 'Scotch']","['Brad', 'Fall', 'Pluot', 'Bottomless', 'Avocado', 'Trap']","['Night', 'Private', 'bludgeon', 'billy', 'Golf', 'Membership']","['Pastries', 'Bread', 'Oven', 'Oven']","['Fuzzy', 'Elisabeth', 'Model', 'Kate', 'Green', 'Green']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Sticks', 'butter', 'Dough', 'Naan', 'bun', 'Sandwich']","['Odeur', 'Suspense', 'Souffle', 'Menthe']","['Bing', 'Blossom', 'Pop', 'Red', 'lips', 'chelan']","['Geronimo', 'PUBG', 'Skydiving', 'War', 'Skyfall', 'slow']","['Trident', 'Pointed', 'mint', 'hunting', 'Britney', 'Britney']","['rikers', 'Quentin', 'Slammer', 'Clink', 'incarceration']","['tooth', 'doctor', 'teeth', 'teeth']","['Loyal', 'Funambule']","['Nirvana', 'Perforation', 'mend', 'watering', 'Tee']","['Monster', 'Snickerdoodle', 'maryland', 'Biscotti', 'Gingersnap']","['burst', 'Meerschaum', 'laying', 'Popeye', 'Magritte', 'line']","['Flight', 'Bird', 'Boa', 'Boa']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Clavier', 'Nuisible', 'verte', 'chat', 'minis', 'mini']","['papier', 'Boeing', 'cessna', 'pilote']","['unzerbrechlich', 'trinken', 'Milit\\u00e4r', 'Wanderung', 'Wanderutensil', 'Notration']","['Australia', 'aussie', 'Grill', 'Grill']","['slip', 'yellow', 'Curved', 'Monkey', 'plantain', 'plantain']","['Lion', 'Badge', 'Honor', 'Silver', 'Trophy', 'Prize']","['cactus', 'Antarctica', 'Kalahari', 'scorpions', 'Arid', 'Arid']","['orchid', 'hyacinth', 'Columbine', 'Hibiscus', 'Tulip', 'Bud']","['waitress', 'bartender', 'Discord', 'infrastructure', 'Gaming', 'Internet']","['Egyptian', 'Sarcophagus', 'Tomb', 'Tutankhamun', 'pyramid', 'pyramid']","['chocolate', 'chip', 'snickerdoodle', 'thumbprint', 'Sugar', 'Disk']","['calm', 'tranquility', 'Green', 'hippies', 'dove', 'Dove']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['mirage', 'Multifruit', 'Fra\\u00eecheur', 'Fra\\u00eecheur', 'Palmier', 'Palmier']","['Billard', 'Pistole', 'rund', 'rund']","['Madame', 'decapitator', 'Killing', 'beheading', 'Antoinette', 'tete']","['Scales', 'Dinglehopper', 'Ariel', 'Atlantica']","['Grijs', 'Staart', 'Knaagdier', 'Riool']","['flea', 'ringmaster', 'Trapeze', 'Tent']","['Precious', 'Bronze', 'Aluminum', 'Metal']","['Inflated', 'Liquid', 'HYUNA', 'POP', 'fizzy', 'bath']","['Mines', 'Gimli', 'Dopey', 'Tyrion', 'Short', 'Beards']","['Lobe', 'Boucle', ""L'ou\\u00efe"", 'Ou\\u00efe']","['Zodiaque', 'Mouton', 'famille', 'louane', 'Louane', 'Famille']","['Not.Toronto', 'Coldplay', 'oasis', ""Heaven's"", 'heaven']","['Ecrou', 'Tourne', 'Clou', 'Torsad\\u00e9']","['summer', 'Apollo', 'shine', 'glasses', 'Dawn']","['aang', 'barn', 'Viento', 'remolino']"
Mystery Word,Gold,Scene,Clou,Baggage,Grave,Guard,Island,Dessert,Truffle,Golf,Ring,Bracelet,Baby,Lock,President,Attraction,Machine,Princesse,Helicopter,Bulle,Banana,Alcohol,Pit,Club,Baker,Moss,Poule,Bread,Haleine,Cherry,Parachute,Spear,Prison,Dentist,Cirque,Hole,Cookie,Pipe,Feather,Rum,Souris,Avion,Feldflasche,Barbecue,Banana,Medal,Desert,Flower,Server,Mummy,Cookie,Peace,Kette,Oasis,Kugel,Guillotine,Mermaid,Rat,Circus,Metal,Bubble,Dwarf,Oreille,B\u00e9lier,Paradise,Vis,Sun,Tornado
Guess,gold,Murder,Marteau,Baggage,grave,,Island,Dessert,Truffle,golf,Ring,Bracelet,Baby,Home,president,vampire,Machine,PRINCESSE,helicopter,bulle,Banana,Alcohol,Pit,Club,French,Moss,Poule,bread,Haleine,,Battle,Arrow,Prison,Dentist,Cirque,hole,cookie,pipe,wings,,Souris,Avion,feldflasche,Kangaroo,Banana,Medal,desert,Flower,server,mummy,Cookie,peace,Kette,,Kugel,,mermaid,rat,circus,Metal,Bubble,DWARF,Oreille,Ch\u00e8vre,band,Vis,Sun,wind
