ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74
Table Number,435755232,435380499,435316372,434990931,434974083,434977951,434965225,434711129,434557308,434524380,434499196,434429048,434360454,434312129,434228006,434093917,434099941,434011016,433973724,433973093,433702939,433612231,433404481,432950217,432921213,432865949,432674945,432637374,432580462,432528434,432505930,432363171,432275244,431503131,431443489,431444820,431367466,431356594,431028987,431028877,430847224,430813289,430790870,430770636,430581110,430526833,430082506,429716161,429314903,429213142,429022431,428266021,427550047,427555732,426998428,426861261,425606297,425165350,422619886,422023905,421702805,420914272,420552674,415904372,414619799,393453511,382303145,358827793,344838144,322628136,320452280,319065151,318929216,318673641
Move,40,10,9,16,43,30,37,14,45,30,38,38,37,12,41,36,19,32,37,46,18,18,82,36,67,20,55,16,16,36,74,100,100,90,91,69,82,8,81,64,55,74,44,47,55,15,84,41,55,28,63,62,62,66,91,101,112,47,195,41,58,10,143,59,18,607,288,1411,1194,3521,2048,262,2354,2978
Clues,"['B\\u00eate', 'Dieu', 'noir', 'rouge']","['Electric', 'Brigade', 'Stampede', 'Cost']","['Hatchet', 'terminate', 'mattock', 'logs', 'timber', 'TIMBER']","['parakeet', 'Ostrich', 'Humming', 'Cockatoo', 'Pigeon']",[],"['Top', 'Dome', 'Blowjob', 'BJ']","['Not', 'Appletizer', 'Small', 'Dish', 'Tiny', 'Starter']","['Pen', 'Petting', 'cages', 'Como']","['Iodine', 'Poisoning', 'Maple', 'Vermont']","['Angle', 'Canard', 'fendre', 'punition']","['pointy', 'crunchy', 'Orange', 'Root', 'Top', 'Cake']","['Harbour', 'Tahiti', 'MrCrabs', 'earring', 'oyster', 'Sea']","['Eyepatch', 'Boat', 'Copyright', 'Yarr']","['Sneeuwwitje', 'Reflectie', 'Badkamer', 'Kapper', 'Shine', 'Twin']","['infant', 'smaller', 'Arcana', 'small', '3A', 'Major']","['Washing', 'Head', 'Mind', 'Fog', 'Pinky', 'Pinky']","['movie', 'van', 'Rv', 'Park', 'mobile', 'home']","['Wife', 'Bubble', 'submerge', 'town', 'Turkish']","['Casino', 'immense', 'Gargantua', 'Echasses', 'Grand', 'Grand']","['Manicure', 'Keratin', 'trimmer', 'Cuticle', 'cuticle', 'Cuticle']","['layers', 'Satirical', 'news', 'Tropea', 'bulb', 'bulb']","['Bow', 'Tracking', 'Legal', 'Poacher', 'Wildanimals', 'Shoot']","['Floor', 'Floorcloth', 'persian', 'Carpet', 'Woven', 'Alladyn']","['Feathered', 'Macaw', 'Ornithology', 'Winged', 'stork', 'jay']","['Botulino', 'Rifatta', 'pvc', 'materiale', 'bambole', 'piatti']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Nectar', 'Owad', 'Buzzy', 'Hive', 'Not', 'Wasp']","['Holiday', 'Luggage', 'container', 'mystery']","['Balle', 'Raquette', 'As', 'Filet']","['asparagus', 'Cauliflower', 'bok', 'choy', 'carrot', 'Carrot']","['Jour', 'Robinson', 'Addams', 'tournier', '5', 'Cinquieme']","['Zacht', 'Emoticon', 'Wangen', 'Prinses', 'Princess']","['furby', 'girly', 'Barbie', 'Porcelain', 'Chucky', 'chucky']","['Energizer', 'NimH', 'Charger', 'Rechargeable', 'Charge', 'charge']","['waveform', 'Address', 'lick', 'SASE']","['gemstone', 'Gem', 'gem', 'gem']","['Maraschino', 'Rainier', 'Pie', 'blossom', 'pie', 'blossom']","['Chill', 'relax', 'Bloody', 'rest']","['Mushu', 'Komodo', 'Zog', 'Mystical']","['futon', 'trundle', 'Sleep', 'Pillow', 'Snore', 'Bunk']","['Fart', 'oxygen', 'Poisonous', 'hydrogen']","['Oreo', 'Chrome', 'monster', 'oatmeal', 'Hydrox', 'biscotti']","['gown', 'wedding', 'impress', 'Cocktail']","['aircraft', 'Air', 'Airport', 'Himmel', 'Attendant', 'wright']","['fool', 'pistachio', 'Hazel', 'Hoarders', 'cashew', 'Cashew']","['0', 'X', 'browser', 'Browser']","['cinematic', 'towed', 'preview', 'doublewide', 'hitch', 'semi']","['echolocation', 'Flipper', 'Porpoise', 'Bottlenose', 'Bottlenose']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Sergent', 'Team', 'navigator', 'rank', 'Commander', 'Ship']","['castle', 'throne', 'JAck', 'Queen', 'Monarch', 'male']","['pearl', 'Anklet', 'Attire', 'pendant', 'Pendant', 'Pendant']","['Wilderness', 'temporary', 'dirt', 'Camping', 'Camping']","['Boule', 'Cochonnet', 'cochonnet']","['bottle', 'lux', 'Bolt', 'zap', 'streak', 'Charger']","['Pitch', 'Pole', 'circus', 'Embassy', 'Camping', 'Camp']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['plane', 'Guy', 'flier', 'Fly']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['tooth', 'doctor', 'teeth', 'teeth']","['mansion', 'cards', 'white', 'club', 'dr.', 'gregory']","['wildlife', 'Cages', 'Exhibits', 'park']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Brine', 'Marine', 'Can', 'Piano', 'Piano']","['wyklute', 'Drewniana', '\\u017b\\u00f3\\u0142ciutki', '\\u017b\\u00f3\\u0142ty']","['Abrite', 'plis', 'papeterie', 'affranchir']","['drug', 'Prescription', 'dose', 'antibiotic']","['pair', 'Romulus', 'Matching', 'Gemini', 'Minnesota']","['Nick', '\\u00c9pais', 'souterrain', 'vin', 'Estid\\u2019']","['skipping', 'stretch', 'knot', 'sails']","['400', 'Apache', 'mainframe', 'Waiter', 'Waiter']","['Mogo', 'Dubbo', 'Dubbo', 'Enclosures', 'enclosure']"
Mystery Word,Coccinelle,Charge,Axe,Bird,Professor,Head,Appetizer,Zoo,Syrup,Coin,Carrot,Pearl,Pirate,Mirror,Minor,Brain,Trailer,Bath,G\u00e9ant,Nail,Onion,Hunter,Rug,Bird,Plastic,Lamb,Bee,Case,Tennis,Vegetable,Vendredi,Peach,Doll,Battery,Envelope,Jewel,Cherry,Sunday,Dragon,Bed,Gas,Cookie,Dress,Flight,Nut,Safari,Trailer,Dolphin,Butcher,Rock,Captain,King,Necklace,Tent,P\u00e9tanque,Lightning,Tent,Nombril,Pilot,Ski,Dinosaur,Dentist,House,Zoo,Arrow,Tuna,Chick,Enveloppe,Medicine,Twins,Cave,Rope,Server,Zoo
Guess,cocccinelle,Charge,Axe,bird,,Blad,appetizer,zoo,Syrup,Coin,Carrot,,Pirate,Mirror,Minor,Brain,Trailer,Bath,G\u00e9ant,Nail,,safari,Rug,bird,Silicone,,bee,suitcase,Tennis,vegetable,Vendredi,Smile,Doll,Battery,envelope,Diamond,prince,igiveup,Dragon,bed,Gas,,dress,Flight,nut,moonballer,Trailer,Dolphin,mannaiaLa,Rock,captain,King,,tent,,Electricity,Tent,Nombril,Pilot,skate,Dinosaur,Dentist,Palace,Zoo,compass,,Deska,Lettre,medicine,Twins,Cave,Rope,computer,zoo
