ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68
Table Number,439393461,439344852,439307179,439177364,439093369,439070231,439020364,438985110,438948569,438595562,438500657,438498204,438402141,438276362,437985605,437944176,437908255,437753465,437745577,437672402,437632443,437310566,437309719,437232307,436816613,436788621,436603406,436240243,436197848,436156147,436158742,436148149,435968850,435781132,435579708,435565655,435313280,435099856,434974083,434748129,434653419,434570336,433551934,433342815,432865949,432727733,432637374,432620929,431356594,431028987,430526833,429314903,429213142,427868633,425815125,425175907,425165350,424877761,422023905,421549329,374138794,366888891,358827793,356959263,336562502,322628136,320452280,314360735
Move,6,9,8,9,21,18,9,20,8,28,36,24,36,81,26,54,30,87,33,38,16,75,104,82,39,66,55,81,91,36,73,65,63,10,19,55,74,90,43,51,66,83,12,70,20,102,28,67,8,147,15,55,28,43,37,99,47,435,41,45,970,1004,1464,1008,1259,3612,2096,2457
Clues,"['Final', 'point', 'Terminate', 'Finish', 'Roll', 'Credits']","['Mari\\u00e9', 'Masque', 'Cravate', 'Costard', 'D\\u00e9guisement', 'carnaval']","['Sportler', 'Graciano', 'Survivor', 'Drago', 'Stallone']","['Farm', 'Pull', 'beam', 'Kubota', 'agricultural', 'trailer']","['Mail', 'Bicycle', 'Iron', 'Rope', 'Reaction', 'Bonded']","['Bumble', 'wasp', 'Spelling', 'Honeycomb', 'queen', 'queen']","['stations', 'Broadcast', 'Static', 'BBC', 'HAM', 'frequency']","['Antillais', 'Grosse', 'charcuterie', 'Moche', 'noir', 'Laide']","['underground', 'Crawl', 'AMPERSAND', 'Incarceration', 'Cube']","['Cadre', 'couture', 'Directeur', 'saint', 'mod\\u00e8le', 'mod\\u00e8le']","['Agriculture', 'ouvre', 'Basse-cour', 'Paysan', 'Etable', 'exploitation']","['triscuit', 'Pillsbury', 'cookie', 'Gravy', 'Cookie', 'Gravy']","['bandes', 'Chirurgie', 'Table', 'snooker', 'queue', 'Queue']","['Ride', 'Abrei\\u00dfrolle', 'Fahrschein', 'Eintrittsbescheinigung', 'Flugschein', 'Fahrschein']","['feline', 'puma', 'Catamount', 'America', 'panther', 'claws']","['Violeur', 'Cache-oeil', 'Cara\\u00efbe', 'Depp', 'tipiak', 'Luffy']","['Silbermond', 'Sittich', 'perfekt', 'Nena', 'Surfen', 'Surfen']","['eggs', 'Perykla', 'inkile', '\\u0161akel\\u0117s', '\\u0161akel\\u0117s']","['fluffy', 'ice', 'Blizzard', 'Flake', 'Ball', 'Man']","['parking', 'speeding', 'Boleto', 'Access', 'To', 'Ride']","['Cover', 'cap', 'Hat', 'cap', 'hat']","['Ticket', 'Prep', 'Worms', 'Supper', 'Prefixe', 'Entree']","['b\\u00e2tisse', 'Alfort', 'H\\u00f4tel', 'Domicile', 'close', 'Close']","['\\u00c4tna', 'Teide', 'Vesus', 'Ausbruch', 'Hawaii', 'Magmaberg']","['Leistungssteigernd', 'Leistungssteigerung', 'Sport', 'Sport']","['No.Pineapple', 'On.Top', 'Circular', 'Food', 'Freezer', 'Frisbee']","['bread', 'Number', 'Sails', 'Netherlands', 'Grain', 'Spinning']","['Th\\u00e9', 'Mlle', 'Latte', 'refill', 'Cors\\u00e9']","['Rheoboham', 'plastique', 'Flasque', 'Flacon', 'Vin', 'Champagne']","['Wolfgang', '\\u00d6sterreicher', 'Komponist', 'Komponist', 'Kugel', 'Kugel']","['Ordonnance', 'sanofi', 'Tylenol', 'traitement', 'Prescription', 'Prescription']","['daylight', 'breakfast', 'dove', 'star', 'sunrise', 'Sunrise']","['Chocolate', 'Cookie', 'Dale', 'micro', 'snack', 'pet']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['NDW', 'Susanne', 'Kerner', 'Schwurblerin', 'Luftballons', 'Luftballons']","['hamburger', 'Side', 'Chips', 'burns', ""McDonald's"", 'McDonald\\u2019s']","['Bee', 'Viscous', 'colony', 'Moon', 'milk', 'Comb']","['electric', 'Microwave', 'heating', 'appliance', 'stove']",[],"['Veal', 'Pork', 'Jerky', 'burger']","['repose', 'Rue', 'Calme', 'Tolsto\\u00ef', 'calme', 'Tolstoi']","['Finish', 'dead', 'Start', 'Bottom', 'Conclusion', 'Conclusion']","['Couleur', 'couleurs', 'Transparent', 'Lezard', 'l\\u00e9zard', 'L\\u00e9zard']","['Animal', 'hump', 'Sahara', 'Mount', 'Desert', 'desert']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['twig', 'Egg', 'Birds', 'sniper', 'Quick', 'Birb']","['Fire', 'Garden', 'rubber', 'tube']","['Dove', 'love', 'iphone', 'games', 'Bird', 'bird']","['Chill', 'relax', 'Bloody', 'rest']","['OLED', 'Door', 'Tv', 'play']","['0', 'X', 'browser', 'Browser']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Keuken', 'Commanderen', 'Baas', 'Kok']","['Disaster', 'Spin', 'shelter', 'alley']","['Abricot', 'Coup', 'Nectarine', 'Ligne', 'Brugnon']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Pilsner', 'Leinenkugel', 'Yuengling', 'hops']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Railroad', 'rail', 'Subway', 'Transportation', 'transit', 'Transport']","['black', 'cab', 'yellow', 'yellow']","['conductor', 'Encore', 'performance', 'music', 'Music', 'Music']","['Pouet-pouet', 'Dis-', 'pouet', 'pouet']","['sandhill', 'origami', 'Marion', 'Egret', 'Neck', 'stretch']","['D\\u00f4me', 'Rungis', 'Gastronomique', 'Repas', 'Bistrot', 'Manger']","['Statue', 'Hole', 'Sort', 'messanger', 'plaza']","['Collection', 'Napa', 'casse-tete', 'Th\\u00e9\\u00e2tre', 'theatre']","['eat', 'Oesophagus', 'Asophagus', 'neck', 'Neck', 'Neck']"
Mystery Word,End,Costume,Rocky,Tractor,Chain,Bee,Radio,Boudin,Dungeon,Patron,Ferme,Biscuit,Billard,Ticket,Cougar,Pirate,Welle,Nest,Snow,Ticket,Lid,Meal,Maison,Vulkan,Doping,Pizza,Mill,Caf\u00e9,Bouteille,Mozart,M\u00e9dicament,Morning,Chip,Poil,Nena,Fries,Honey,Oven,Professor,Beef,Paix,End,Cam\u00e9l\u00e9on,Camel,Lamb,Nest,Hose,Pigeon,Sunday,Screen,Safari,Butcher,Rock,Chef,Tornado,P\u00eache,Nombril,Beer,Ski,Metro,Taxi,Concert,Camion,Crane,Restaurant,Pigeon,Pi\u00e8ce,Throat
Guess,end,costume,Rocky,tractor,chain,Bee,radio,Boudin,,Patron,ferme,,Billard,,lynx,pirate,,chicks,Snow,Ticket,Umbrella,Meal,Maison,Vulkan,Sport,Pizza,,Caf\u00e9,Bouteille,Mozart,m\u00e9dicament,Morning,Chip,Poil,Nena,fries,honey,Oven,,Meat,Paix,Line,Blanc,Camel,,Nest,Hose,,igiveup,screen,moonballer,mannaiaLa,Rock,Chef,tornado,P\u00eache,Nombril,Beer,skate,train,taxi,Concert,Camion,crane,Restaurant,Mercury,Pi\u00e8ce,Swallow
