ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76
Table Number,432909359,432674945,432652658,432585757,432521857,432528434,432510191,432500062,432470734,432367473,432275244,432230476,432134582,432094919,432014272,431912516,431890304,431690460,431632592,431586697,431585930,431539329,431503997,431356594,430935561,430813289,430775046,430696690,430431094,430318008,429982622,429915024,429646944,429402105,429335825,429314903,429213142,429086965,429067327,429055215,429022431,428266021,428211444,428173693,428177160,427900593,427865833,427257597,426998428,426921218,426117805,425204209,425165350,424914928,422108223,422090899,422023905,421810395,421702805,421202126,420914272,418688067,418252645,416390940,414619799,405054016,363390977,357991900,356959263,350584338,348302073,346689693,323499397,322726720,322628136,314360735
Move,9,6,10,12,16,12,15,23,16,9,27,19,46,37,110,36,16,105,16,52,28,58,46,8,82,27,54,11,46,55,51,56,55,33,107,55,28,64,75,47,36,37,43,64,16,73,111,90,91,51,108,77,47,73,68,58,41,10,58,48,10,8,7,49,18,669,900,280,962,2372,1859,1413,3756,898,3489,2387
Clues,"['Pastis', 'Toutenkamon', 'Bandelettes', 'Bandelette']","['barbecue', 'fuel', 'Vapour', 'Butane', 'Liquod', 'Solid']","['Paris-Brest', 'Pomme', 'Patisserie', 'Fruits']","['Sly', 'Hunt', 'Disney', 'hound', 'orange', 'predator']","['Robber', 'digger', 'yard', 'stone', 'serious']","['Master', 'Chucky', 'muppet', 'marionette', 'kermit', 'kermit']","['\\u0152uf', 'Pondeuse', 'Caqu\\u00e8te', 'Pond']","['Puppenspiel', 'Gliederpuppe', 'Puppe', 'Puppe']","['Puppet', 'Slipper', 'foot', 'covering']","['Coop\\u00e9ration', 'eternelle', 'Arche', 'Triple', 'union', 'Union']","['extract', 'gripper', 'needlenose', 'Marki', 'wires', 'tool']","['arena', 'Set', 'Match', 'play', 'board', 'board']","['Lick', 'Saliva', 'piercing', 'Tied', 'Taste', 'taste']","['Ranch', 'Saloon', 'Mitchum', 'Comanches', 'Film', 'Spaghetti']","['Pencil', 'hair', 'Handlebar', 'movember', 'Handlebar', 'movember']","['Tunnel', 'Tancarville', 'aerien', 'Viaduc', 'Avignon', 'GoldenGate']","['blue', 'mining', 'aircraft', 'stars']","['laatste', 'Yoghurt', 'Tiramisu', 'Kaasplankje', 'Vla', 'Vla']","['Stiletto', 'Foot', 'Toe', 'Stop']","['Climb', 'extension', 'Rung', 'Rungs']","['dock', 'climbing', 'Skipping', 'braided', 'hangman', 'Hangman\\u2019s']","['Dirty', 'Snitch', 'Rodent', 'snitch', 'Rodent']","['Whale', 'Marino', 'Flipper', 'echolocation', 'Miami', 'mammal']","['Chill', 'relax', 'Bloody', 'rest']","['clafouti', 'Burlat', 'G\\u00e2teau', 'Noyau', 'fruit']","['tonsil', 'gums', 'oral', 'Teeth', 'Wash', '...wash']","['Pink', 'Indian', 'Tusk', 'Tusk', 'Pachyderm', 'Pachyderm']","['Italian', 'Criminal', 'Warewolf', 'Sicilian', 'Sicilian']","['Sage', 'plant', 'Bencao', 'Hancock', 'Mint', 'rosemary']","['Resident', 'Holland', 'Rihanna', 'Citigroup', 'Travelers', 'parasol']","['scented', 'roman', 'flicker', 'Flicker']","['Identical', 'babies', 'Duplicates', 'Duo']","['Recipes', 'Tapas', 'List', 'Prices', 'Beverages', 'Choice']","['cruise', 'Break', 'Lampoon', 'Summer', 'PTO']","['bunch', 'chiquita', 'Flamb\\u00e9', 'yellow', 'Peal', 'Split']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Tarin', 'Cyrano', 'Cleopatre', 'odorat', 'pinocchio', 'pinocchio']","['Windmill', 'Nacelle', 'Wind', 'Wind', 'motor', 'Motor']","['Fr\\u00fchst\\u00fcck', 'Paris', 'Geb\\u00e4ck', 'franz\\u00f6sisch', 'H\\u00f6rnchen', 'H\\u00f6rnchen']","['foot', 'cotton', 'Christmas', 'Hole', 'thigh', 'highs']","['mob', 'tommy', 'Cosa', 'Nostra', 'Sicilian', 'Triads']","['M\\u00e4rchen', 'Orient', '1001Nacht', 'Disney']","['Vorschau', 'Zeitungsseite', 'Nachrichten', 'wolken', 'Vorhersage', 'Regenvorhersage']","['Light', 'Hot', 'Sky', 'Sky']","['Moon', 'Sun', 'SHOOTING', 'Hollywood', 'nova', 'fusion']","['Roulette', 'rouge', 'outil', 'Charlotte', 'Framboise', 'Framboise']","['ersticken', 'HeleneFischer', 'Asthma', 'Puff', 'Schlager', 'Schlager']","['Boule', 'Cochonnet', 'cochonnet']","['roasted', 'broil', 'dutch', 'stove']","['nocturnal', 'screech', 'hoot', 'Boobook', 'Athena', 'Insomnia']","['Twelve', 'Julian', 'Months', 'Gregorian', 'Gregorian']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Endpunkt', 'kappen', 'Arktis', 'Kappe', 'kalt', 'Nord']","['chamber', 'Journaling', 'gun', 'Life', 'Bang', 'bang']","['excavator', 'black', 'worm', 'tunnel', 'Ground', 'Gal']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['oeuf', 'Mouill\\u00e9e', 'Party', 'Coq', 'bassecour', 'blanche']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['None', 'Cliff', 'Space', 'Graph', 'Graph']","['tooth', 'doctor', 'teeth', 'teeth']","['Barrel', 'Bacardi', 'Pirate\\u2019s', 'booze', 'Coke', 'Alcohol']","['Australia', 'aussie', 'Grill', 'Grill']","['Fahrrad', 'Metallringe', 'Anker', 'Fu\\u00df', 'Halsschmuck', 'hals']","['direction', 'point', 'Pointy', 'Bow', 'Quiver', 'Quiver']","['Knave', 'Horse', 'Teutonic', 'Chivalry']","['Silver', 'Sun', 'examine', 'Filter', 'Filter']","['Goatee', 'Lip', 'Caterpillar', 'walrus', 'Handlebar', 'Handlebar']","['tide', 'noodle', 'swim', 'Water-Balls', 'Paddling', 'Chlorinated']","['Exposer', 'Clou', 'Jesus', 'Jesus']","['Halal', 'Carnage', 'Expression', 'Viande', 'Magasin', 'Magasin']","['CuBirds', 'Rouge-', '-profonde', 'Soutien-']","['magnetic', 'Chessington', 'Fatal', 'smiler', 'Opposite', 'Magnets']","['Bugs', 'sleep', 'Queen', 'Sheet', 'Pillow', 'Pillow']","['Spelunking', 'Troll', 'Explore', 'Lair', 'Carlsbad']","['gust', 'breeze', 'Breeze', 'Gale', 'Gale', 'Breeze']"
Mystery Word,Momie,Gas,Dessert,Fox,Grave,Puppet,Poule,Marionette,Sock,Alliance,Pliers,Game,Tongue,Western,Mustache,Pont,Sky,Dessert,Heel,Ladder,Rope,Rat,Dolphin,Sunday,Cerise,Mouth,Elephant,Mafia,Herb,Umbrella,Candle,Twins,Menu,Vacation,Banana,Butcher,Rock,Nez,Turbine,Croissant,Sock,Mafia,Aladdin,Wetterbericht,Sun,Star,Fraise,Atemlos,P\u00e9tanque,Oven,Owl,Calendar,Nombril,Pol,Bullet,Hole,Ski,Poule,Dinosaur,Bar,Dentist,Rum,Barbecue,Kette,Arrow,Knight,Screen,Mustache,Pool,Croix,Boucherie,Gorge,Attraction,Bed,Cave,Wind
Guess,Momie,gas,Tarte,Fox,Grave,puppet,poule,Potter,sock,alliance,plier,Tennis,Tongue,Western,Brush,Pont,Lapis,Dessert,Heel,Cord,Rope,mud,Dolphin,igiveup,cerise,Mouth,Rubber,,Green,umbrella,Candle,Twins,Menu,Vacation,banana,mannaiaLa,Rock,Nez,turbine,croissant,socks,Mafia,Aladdin,Wetterbericht,Heat,star,Fraise,Atemlos,,Oven,owl,Calendar,Nombril,Antarktis,bullet,Dig,skate,Poule,Dinosaur,Void,Dentist,,Kangaroo,Kette,compass,Knight,Moon,Mustache,pool,Tableau,boucherie,Gorge,attraction,Bed,cave,Wind
