ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72
Table Number,437143457,436802890,436788745,436766119,436603406,436515075,436491063,436372239,436263978,436158742,436036993,435980337,435943395,435824775,435781132,435760057,435730771,435500926,435162768,435104291,435099856,435063066,434998791,434974083,434963829,434748129,434504659,434398760,434312129,434221056,433805237,433612231,433340843,433108514,432950217,432942114,432865949,432846587,432790283,432593419,432585757,432205986,431427708,431356594,431297915,431028877,430983901,430702977,430526833,429735529,429314903,429271612,429213142,428173693,427555732,427186060,426998428,425165350,422107292,422023905,421702805,415621306,411382679,405054016,402108912,401556682,374138794,357991900,343894377,324806575,317609821,312175859
Move,5,32,6,9,18,36,37,9,20,18,9,36,24,45,9,55,36,58,65,57,42,37,83,43,56,21,57,49,24,90,91,31,23,10,60,43,20,61,94,75,48,78,56,8,92,89,51,109,15,87,55,40,28,110,74,56,91,47,30,41,58,114,456,741,518,92,955,286,1734,1407,1288,1638
Clues,"['Spook', 'Garfield', 'Ghost', 'Pussy']","['PFERD', 'Haarschnitt', 'Fallabella', 'Frisur']","['casing', 'cartridge', 'ammunition', 'pistol', 'Ammo', 'Reload']","['cereal', 'gluten', 'Field', 'Whole', 'Grain', 'Grain']","['Persian', 'Oriental', 'Smaller', 'Hooked', 'Alladyn', 'mat']","['pot', 'bec', 'Caqueter', 'Pondeuse', 'Cocotte', 'Cocotte']","['Smaug', 'lance', 'Mushu', 'Dinosaur', 'flame', 'Dudley']","['heavier', 'Zippo', 'Paler', 'weightless', 'flame', 'Flame']","['Click', 'intruder', 'Minnie', 'Gus', 'rodent', 'Cursor']","['Bandes', 'tombe', 'sarcophage', 'Pyramide', 'bandelettes', 'Bandelettes']","['Shore', 'Bondi', 'Boys', 'sand', 'Shark', 'Ball']","['Panpan', 'Bugs', 'Hase', 'Carotte']","['Body', 'Coast', 'Sentinel', 'Escort', 'protect', 'Protective']","['Withdrawl', 'Building', 'Cash', 'ATM', 'Deposit', 'Deposit']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Elastique', 'Mouton', 'Parachute', 'Acrobatique']","['Steel', 'Erlenmeyer', 'Bottle', 'Container']","['Outdoors', 'Shopping', 'bazaar', 'Trade', 'farmers', 'Farmers']","['Blaring', 'C02', 'Wake', 'Clock']","['rettung', 'Sprung', 'Flugger\\u00e4t', 'Flugsport']","['Horse', 'time', 'Dragon', 'swatter', 'fruit']","['Chad', 'Earring', 'Stallion', 'Hunk', 'Horse', 'horses']","['Fruit', 'Midori', 'Cantaloupe', 'honeydew', 'Honeydew']",[],"['Island', 'X', 'Chest', 'gold']","['vault', 'Mortgage', 'Robber', 'Snow']","['Kansas', 'seed', 'Marigold', 'Oil', 'Yellow', 'yellow']","['Beehive', 'Pot', 'Pooh', 'Manuka']","['Olympische', 'Omhangen', 'Lintje', 'Brons', 'Contest', 'Vierdaagse']","['bec', 'basse-cour', 'Cocotte', '\\u0152uf', 'galinac\\u00e9e', 'gallinac\\u00e9']","['Cobra', 'Poison', 'Drain', 'venomnous', 'venom', 'venomous']","['Bow', 'Stern', 'Frigate', 'Xebec', 'Float', 'Fedex']","['Arctic', 'Glacier', 'Lettuce', 'Lettuce']","['semoule', 'tajine', 'Food', 'Magrebe']","['Marine', 'Mammal', 'Bottlenose', 'Fin', 'Echolocation', 'Ecco']","['Mariacallas', 'Saturday', 'libretto', 'musical']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Openlucht', 'Night', 'Historic', 'Curator', 'Aviodrome', 'Watersnood']","['shape', 'cut', 'shiny', 'Carbon', 'Carbon']","['Tiny', 'Moroccan', 'Balls', 'round', 'semolina', 'semolina']","['Pinot', 'Merlot', 'Sommelier', 'Tasting', 'zinfandel', 'sparkling']","['lonely', 'solitaire', 'alone', 'alone']","['Ecouteurs', 'chapeau', 'protection', 'T\\u00eate', 'Moto', 'moto']","['Chill', 'relax', 'Bloody', 'rest']","['Playful', 'porpoise', 'trainer', 'flipper', 'Flipper', 'Flipper']","['colony', 'busy', 'bumble', 'stinger', 'Honey', 'Hive']","['Katamaran', 'Papierflieger', 'Knut', 'Wassersport']","['Corgi', 'Elisabeth', 'Tod', 'Monarchie', 'Freddy', 'Mum']","['0', 'X', 'browser', 'Browser']","['Snooker', 'Swimming', 'swim', 'Billards']","['fiorentina', 'mannaia', 'venditore', 'carne']","['Royalty', 'Headpiece', ""Royalty's"", 'hat']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Versager', 'Pfand', 'Trinkbeh\\u00e4ltnis', 'glas', 'Pet', 'schimpfwort']","['Summer', 'Hot', 'sunny', 'Warm', 'warm']","['christmas', 'decidious', 'Trunk', 'Branches', 'Aspen', 'Birch']","['Boule', 'Cochonnet', 'cochonnet']","['Anatomie', 'Cordon', 'Ventre', 'Centre', 'centre', 'Centre']","['Yellow', 'Tall', 'solar', 'seeds']","['madeira', 'radical', 'olimpiadas', 'Neve', 'montanha', 'montanha']","['Rawr', 'Pterodactyl', 'Fossil', 'Old', 'Stegosaurus', 'Stegosaurus']","['Cold', 'solstice', 'white', 'Flake', 'Freezing', 'Princess']","['AWhile', 'Dundee', 'Dundee', 'Dundee', 'Dundee']","['Machinery', 'Crops', 'Deere', 'plow']","['poultry', ""hen's"", 'Leghorn', 'crest', 'Broiler', 'Cogburn']","['mammal', 'Flipper', 'Bottlenose', 'Porpus', 'porpoise']","['kitchen', 'panic', 'escape', 'escape']","['Hitchcock', 'Stewart', 'Hemp', 'Rigging', 'Noose', 'Noose']","['Toss', 'Boom', 'Explode', 'Explosive']","['Ahab', 'Blowhole', 'Ambergris', 'Killer', 'Jonah', 'Sperm']","['P\\u00e2tissier', '\\u00c9clair', 'Levain', 'Metier', 'croissant', 'P\\u00e9trissage']","['W\\u0142adzy', 'Z\\u0142oty', 'Tytanowy', 'Obr\\u0105czka']"
Mystery Word,Cat,Pony,Bullet,Wheat,Rug,Poule,Dragon,Lighter,Mouse,Momie,Beach,Lapin,Guard,Bank,Poil,Saut,Flask,Market,Alarm,Fallschirm,Fly,Stud,Melon,Professor,Treasure,Bank,Sunflower,Honey,Medal,Poule,Snake,Ship,Iceberg,Couscous,Dolphin,Opera,Lamb,Museum,Diamond,Couscous,Wine,Hermit,Casque,Sunday,Dolphin,Bee,Segeln,Queen,Safari,Pool,Butcher,Crown,Rock,Flasche,Heat,Tree,P\u00e9tanque,Nombril,Sunflower,Ski,Dinosaur,Winter,Crocodile,Tractor,Rooster,Dolphin,Room,Rope,Grenade,Whale,Boulanger,Ring
Guess,Cat,Pony,Bullet,grain,Carpet,Poule,Dragon,Lighter,mouse,Momie,Beach,Lapin,Guard,Bank,Poil,Sauter,flask,Market,ALARM,fallschirm,Fly,hang,Melon,,Treasure,Bank,,honey,Medal,Poule,Snake,Ship,Titanic,couscous,Dolphin,opera,,Museum,,,wine,Hermit,casque,igiveup,Dolphin,bee,Segeln,k\u00f6nigin,moonballer,Pool,mannaiaLa,Crown,Rock,flasche,Beach,Tree,,Nombril,Sunflower,skate,Dinosaur,snow,Time,Tractor,Rooster,Dolphin,room,Rope,Grenade,Whale,Boulanger,Ring
